scan_kind,x_axis,y_axis,x_index,y_index,rabi_ratio,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,score
heatmap,rabi,fcl,3,23,0.82666666666666666,0,0.93333333333333335,0.90952446694461431,0.078409376235002631,0.006033078410191549,0.006033078410191549,0.078409376235002631
heatmap,rabi,fcl,4,23,0.83999999999999997,0,0.93333333333333335,0.90731650549386489,0.079364563673035723,0.0066594654165497277,0.0066594654165497277,0.079364563673035723
heatmap,rabi,fcl,5,23,0.85333333333333339,0,0.93333333333333335,0.90501023708807138,0.080314619272467969,0.0073375718197302665,0.0073375718197302665,0.080314619272467969
heatmap,rabi,fcl,6,23,0.8666666666666667,0,0.93333333333333335,0.90260577486087845,0.08126031667477461,0.0080669542321735229,0.0080669542321735229,0.08126031667477461
heatmap,rabi,fcl,7,23,0.88,0,0.93333333333333335,0.90010345635154132,0.082202479911076376,0.0088470318686911034,0.0088470318686911034,0.082202479911076376
heatmap,rabi,fcl,8,23,0.89333333333333331,0,0.93333333333333335,0.89750383310085868,0.083141977471989592,0.0096770947135758206,0.0096770947135758206,0.083141977471989592
heatmap,rabi,fcl,9,23,0.90666666666666662,0,0.93333333333333335,0.8948076598665784,0.084079718024738251,0.010556311054341617,0.010556311054341617,0.084079718024738251
heatmap,rabi,fcl,10,23,0.92000000000000004,0,0.93333333333333335,0.89201588520099551,0.085016644614126377,0.011483735092439058,0.011483735092439058,0.085016644614126377
heatmap,rabi,fcl,11,23,0.93333333333333335,0,0.93333333333333335,0.88912964123676874,0.085953730715261287,0.012458314023985043,0.012458314023985043,0.085953730715261287
heatmap,rabi,fcl,12,23,0.94666666666666666,0,0.93333333333333335,0.88615023423007977,0.086891975421399412,0.013478895174260453,0.013478895174260453,0.086891975421399412
heatmap,rabi,fcl,13,23,0.95999999999999996,0,0.93333333333333335,0.88307913486065392,0.087832399980850517,0.014544232579247779,0.014544232579247779,0.087832399980850517
heatmap,rabi,fcl,14,23,0.97333333333333338,0,0.93333333333333335,0.87991797005038375,0.08877604349112915,0.015652993229243607,0.015652993229243607,0.08877604349112915
