pulse_name,pulse_label,source,scan_kind,scan_name,x_axis,y_axis,sample_index,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score,score_infidelity,log10_score_infidelity,fock_cutoff,abstol,reltol
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,556,16,13,1,0,0,-0.40000000000000002,0.09626088544449464,0.58919882241229427,0.15727014607160555,0.15727014607160555,0.31454029214321111,-0.49293793696779964,1.2944889472286385e-10,0.99998800588249515,0.49294993121475339,0.50705006878524661,-0.29494915403249233,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,557,7,5,1,0,0,-0.33333333333333331,0.085395801915248121,0.6739368343893688,0.12033368184769151,0.12033368184769151,0.24066736369538302,-0.58854103247412071,1.2944889472286385e-10,0.99998800588249515,0.58855302672107446,0.41144697327892554,-0.38568612812189107,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,558,16,14,1,0,0,-0.26666666666666666,0.062401337187697886,0.76792303091188607,0.084837815950208048,0.084837815950208048,0.1696756319004161,-0.70552169372418816,1.2944889472286385e-10,0.99998800588249515,0.70553368797114191,0.29446631202885809,-0.53096438283556069,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,559,7,6,1,0,0,-0.16666666666666666,0.024079627907182856,0.89969752520380253,0.038111423444507311,0.038111423444507311,0.076222846889014623,-0.87561789729661965,1.2944889472286385e-10,0.99998800588249515,0.8756298915435734,0.1243701084564266,-0.90528398694698342,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,560,16,15,1,0,0,-0.13333333333333333,0.014521181529833584,0.93462111191484187,0.025428853277662235,0.025428853277662235,0.050857706555324469,-0.92009993038500826,1.2944889472286385e-10,0.99998800588249515,0.92011192463196201,0.079888075368037992,-1.0975180415665093,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,561,7,7,1,0,0,0,1.2944889472286385e-10,0.99998800588249515,5.9969940279655303e-06,5.9969940279655303e-06,1.1993988055931061e-05,-0.99998800575304625,1.2944889472286385e-10,0.99998800588249515,1,1.0000000000000001e-15,-15,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,562,16,17,1,0,0,0.13333333333333333,0.0052777584508614016,0.93866228082551817,0.028029980361810179,0.028029980361810179,0.056059960723620357,-0.93338452237465674,1.2944889472286385e-10,0.99998800588249515,0.93339651662161049,0.066603483378389505,-1.1765030565286174,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,563,7,8,1,0,0,0.16666666666666666,0.0082346641620891711,0.90649457204447936,0.042635381896715695,0.042635381896715695,0.085270763793431389,-0.89825990788239019,1.2944889472286385e-10,0.99998800588249515,0.89827190212934394,0.10172809787065606,-0.99255907593871073,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,564,16,18,1,0,0,0.26666666666666666,0.030021558539590352,0.78042715658234296,0.094775642439033345,0.094775642439033345,0.18955128487806669,-0.75040559804275264,1.2944889472286385e-10,0.99998800588249515,0.75041759228970639,0.24958240771029361,-0.60278602998162245,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,565,7,9,1,0,0,0.33333333333333331,0.064820147379834492,0.67994984548461468,0.12761500356777544,0.12761500356777544,0.25523000713555088,-0.61512969810478024,1.2944889472286385e-10,0.99998800588249515,0.61514169235173399,0.38485830764826601,-0.41469913421335425,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,566,16,19,1,0,0,0.40000000000000002,0.12259463543698063,0.57533522828064165,0.15103506814118886,0.15103506814118886,0.30207013628237772,-0.45274059284366103,1.2944889472286385e-10,0.99998800588249515,0.45275258709061472,0.54724741290938528,-0.26181628286525488,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,567,7,10,1,0,0,0.5,0.25253001037489348,0.4294564863967707,0.15900675161416791,0.15900675161416791,0.31801350322833583,-0.17692647602187722,1.2944889472286385e-10,0.99998800588249515,0.17693847026883092,0.82306152973116908,-0.084567696958005062,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,568,16,20,1,0,0,0.53333333333333333,0.30450368634016467,0.38690772210906016,0.15429429577538759,0.15429429577538759,0.30858859155077517,-0.082404035768895489,1.2944889472286385e-10,0.99998800588249515,0.082416030015849184,0.91758396998415082,-0.03735418208176472,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,569,7,11,1,0,0,0.66666666666666663,0.52692339071286076,0.2563452787119922,0.10836566528757358,0.10836566528757358,0.21673133057514715,0.27057811200086856,1.2944889472286385e-10,0.99998800588249515,0,1,0,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,570,16,22,1,0,0,0.80000000000000004,0.72503707879495582,0.16750700563311294,0.05372795778596566,0.05372795778596566,0.10745591557193132,0.55753007316184289,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,571,7,12,1,0,0,0.83333333333333337,0.76690825355284231,0.14820083471018053,0.042445455868488545,0.042445455868488545,0.08489091173697709,0.61870741884266178,1.2944889472286385e-10,0.99998800588249515,0,1,0,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,572,16,23,1,0,0,0.93333333333333335,0.87175663099954004,0.091121476323852632,0.01856094633830364,0.01856094633830364,0.037121892676607281,0.78063515467568745,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
varms_2,2 x MS0(pi/2),refined_transition,transition_refined,sideband_fcl,sideband,fcl,573,7,13,1,0,0,1,0.92431905924708124,0.056780249352575841,0.0094503457001715134,0.0094503457001715134,0.018900691400343027,0.86753880989450538,1.2944889472286385e-10,0.99998800588249515,0,1,0,20,9.9999999999999994e-12,9.9999999999999994e-12
varms_2,2 x MS0(pi/2),existing_coarse,heatmap,sideband_fcl,sideband,fcl,574,16,24,1,0,0,1.0666666666666667,0.96241036584007245,0.028355052158332863,0.0046172910007972971,0.0046172910007972971,0.0092345820015945941,0.93405531368173955,1.2944889472286385e-10,0.99998800588249515,0,1,0,NaN,NaN,NaN
