scan_kind,sequence_name,sequence_label,numMS,scan_name,x_axis,y_axis,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,18,1,1.0266666666666666,-0.5,0,0,0.49673988143046988,0.49583533338235802,0.0037123925935860676,0.0037123925935860676,0.0074247851871721351,0.00090454804811185285,9.2727763303247752e-05,0.99989549141336287,0.49583533338235802
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,19,1,1.04,-0.5,0,0,0.49745179830658981,0.49487962822031206,0.0038342867365490758,0.0038342867365490758,0.0076685734730981515,0.0025721700862777475,9.2727763303247752e-05,0.99989549141336287,0.49487962822031206
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,20,1,1.0533333333333332,-0.5,0,0,0.49858827169247888,0.49349761494897953,0.0039570566792708163,0.0039570566792708163,0.0079141133585416325,0.0050906567434993444,9.2727763303247752e-05,0.99989549141336287,0.49349761494897953
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,21,1,1.0666666666666667,-0.5,0,0,0.50014704375652352,0.49169179130499746,0.0040805824692394842,0.0040805824692394842,0.0081611649384789684,0.008455252451526063,9.2727763303247752e-05,0.99989549141336287,0.49169179130499746
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,22,1,1.0800000000000001,-0.5,0,0,0.50212513083510613,0.48946538597133721,0.0042047415967783174,0.0042047415967783174,0.0084094831935566348,0.012659744863768918,9.2727763303247752e-05,0.99989549141336287,0.48946538597133721
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,23,1,1.0933333333333333,-0.5,0,0,0.50451883201118708,0.48682235156019982,0.0043294082143065151,0.0043294082143065151,0.0086588164286130302,0.017696480450987262,9.2727763303247752e-05,0.99989549141336287,0.48682235156019982
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,24,1,1.1066666666666667,-0.5,0,0,0.50732373099938199,0.48376736172483126,0.0044544536378933542,0.0044544536378933542,0.0089089072757867083,0.023556369274550737,9.2727763303247752e-05,0.99989549141336287,0.48376736172483126
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,25,1,1.1200000000000001,-0.5,0,0,0.51053471100099523,0.48030579616575253,0.0045797464166261693,0.0045797464166261693,0.0091594928332523386,0.030228914835242704,9.2727763303247752e-05,0.99989549141336287,0.48030579616575253
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,26,1,1.1333333333333333,-0.5,0,0,0.51414595894929449,0.4764437365751753,0.0047051522377651181,0.0047051522377651181,0.0094103044755302363,0.037702222374119188,9.2727763303247752e-05,0.99989549141336287,0.4764437365751753
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,27,1,1.1466666666666667,-0.5,0,0,0.51815097825796341,0.47218795232247707,0.0048305347097797845,0.0048305347097797845,0.0096610694195595689,0.045963025935486346,9.2727763303247752e-05,0.99989549141336287,0.47218795232247707
