n_pts,N_shots,N_total,seed,rmse,rmse_se,rmse_corr,mae,mean_sigma_gp,mean_sigma_noise,cov80,cov90,cov95,cov95_adj,nlpd,nlpd_adj,crps,msse,msse_gp,n_valid,l1,l2,l3,sf,c
10,100,1000,47,0.227799,0.002632,0.223255,0.171651,0.062810,0.045273,0.3201,0.4052,0.4748,0.5746,5.2535,2.9980,0.140018,9.288754,14.308395,4998,1.0213,0.3437,0.4016,1.0547,0.0500
10,100,1000,48,0.172258,0.001932,0.166202,0.130557,0.081896,0.045274,0.5111,0.6243,0.7051,0.7610,0.3003,0.1463,0.098820,3.205431,3.831311,4999,0.1339,0.1684,1.5000,0.9939,0.0500
10,100,1000,49,0.183950,0.002523,0.178291,0.132408,0.126284,0.045274,0.7287,0.8077,0.8681,0.8886,-0.2964,-0.3155,0.096815,1.597161,1.793256,4998,0.1302,0.3101,1.5000,0.8928,0.0500
10,100,1000,50,0.210435,0.002643,0.205507,0.158516,0.108070,0.045273,0.5476,0.6709,0.7629,0.7975,0.8766,0.5756,0.119513,3.619552,4.405138,4998,1.5000,0.0535,0.2573,0.9679,0.0500
10,1000,10000,1,0.191616,0.002768,0.191080,0.134920,0.104244,0.014317,0.6790,0.7749,0.8363,0.8373,-0.0525,-0.0570,0.100774,2.599118,2.631452,4997,0.1034,0.1977,1.5000,0.9322,0.0500
10,1000,10000,2,0.189319,0.001930,0.188777,0.140801,0.081416,0.014317,0.4857,0.5549,0.6071,0.6187,1.7156,1.5114,0.113196,6.313860,6.783051,4999,1.5000,0.0977,1.5000,0.9691,0.0500
10,1000,10000,3,0.215752,0.002722,0.215276,0.161654,0.164092,0.014317,0.7355,0.8236,0.8702,0.8724,-0.0364,-0.0391,0.118221,1.715371,1.729102,4999,0.0644,1.5000,0.1514,0.8876,3.0000
10,1000,10000,4,0.160979,0.002096,0.160341,0.120850,0.141807,0.014317,0.7997,0.8826,0.9256,0.9268,-0.4640,-0.4630,0.086775,1.181241,1.191863,4998,0.2823,0.2839,0.3287,0.9663,0.0500
10,1000,10000,5,0.160684,0.001911,0.160045,0.121550,0.119518,0.014317,0.6589,0.7620,0.8178,0.8220,0.0068,-0.0262,0.091613,2.440736,2.530419,4999,0.1179,1.5000,1.0277,1.0834,0.0500
10,1000,10000,6,0.186732,0.002021,0.186183,0.141608,0.120086,0.014317,0.6383,0.7287,0.7924,0.7950,-0.0075,-0.0142,0.106181,2.375090,2.404231,4999,1.5000,0.0500,0.0913,0.9271,0.0500
10,1000,10000,7,0.197677,0.002236,0.197158,0.150444,0.161236,0.014317,0.6973,0.7908,0.8568,0.8610,-0.1181,-0.1227,0.110643,1.685789,1.708365,4999,0.5495,0.1132,1.5000,0.9998,0.0500
10,1000,10000,8,0.219621,0.002378,0.219154,0.168105,0.141494,0.014318,0.6172,0.7153,0.7733,0.7755,0.6604,0.6262,0.127876,3.382132,3.464858,4998,1.5000,0.3888,0.0807,0.9716,0.0500
10,1000,10000,9,0.190926,0.002643,0.190389,0.137506,0.060667,0.014318,0.4239,0.5061,0.5787,0.5914,2.9888,2.8001,0.112143,9.350626,9.789490,4997,0.0594,1.5000,0.6434,0.8726,2.2001
10,1000,10000,10,0.135980,0.001573,0.135224,0.099534,0.114295,0.014316,0.7450,0.8227,0.8633,0.8647,-0.1566,-0.1877,0.075713,2.268442,2.360289,4997,0.3039,0.6668,1.5000,1.1203,0.0500
10,1000,10000,11,0.302774,0.002477,0.302435,0.243612,0.142814,0.014317,0.4154,0.5290,0.6248,0.6300,0.6324,0.6181,0.182112,3.483822,3.532647,5000,0.8136,0.3548,1.5000,1.0150,0.0500
10,1000,10000,12,0.171979,0.001586,0.171382,0.137087,0.100567,0.014317,0.5460,0.6484,0.7224,0.7282,0.4877,0.4363,0.103733,3.678884,3.806958,5000,1.5000,0.1049,1.5000,0.7843,3.0000
10,1000,10000,13,0.149517,0.001464,0.148830,0.119534,0.183080,0.014318,0.9008,0.9724,0.9954,0.9958,-0.4978,-0.4956,0.083815,0.599333,0.602485,4999,0.1832,0.0690,1.5000,0.9713,0.0500
10,1000,10000,14,0.148204,0.001177,0.147511,0.123879,0.117057,0.014317,0.6523,0.7816,0.8828,0.8878,-0.4405,-0.4480,0.085649,1.649507,1.689679,4999,0.2082,0.3563,1.5000,1.0700,0.0500
10,1000,10000,15,0.189854,0.001754,0.189313,0.148184,0.146445,0.014317,0.6723,0.8198,0.9144,0.9154,-0.3609,-0.3591,0.104623,1.339247,1.348751,4999,0.1893,0.1223,1.5000,0.9580,0.0500
10,1000,10000,16,0.222848,0.002124,0.222388,0.173479,0.087262,0.014317,0.4190,0.5078,0.5786,0.5864,2.4098,2.1451,0.137682,7.436871,8.017307,4998,1.5000,0.0752,1.5000,0.7901,0.0500
10,1000,10000,17,0.165435,0.002014,0.164814,0.123310,0.213163,0.014317,0.8946,0.9508,0.9750,0.9750,-0.3381,-0.3367,0.093226,0.585245,0.587193,5000,0.0500,0.2137,0.2693,0.9446,0.0500
10,1000,10000,18,0.133693,0.001322,0.132924,0.103299,0.198613,0.014317,0.9608,0.9978,1.0000,1.0000,-0.5190,-0.5168,0.077353,0.402555,0.404478,4999,0.1092,0.1552,1.5000,0.9529,0.0500
10,1000,10000,19,0.127463,0.001446,0.126657,0.098127,0.188387,0.014317,0.9210,0.9614,0.9780,0.9782,-0.5302,-0.5285,0.075234,0.535839,0.541136,4999,0.1478,0.4292,1.5000,0.9294,0.0500
10,1000,10000,20,0.188221,0.002524,0.187676,0.137878,0.112146,0.014317,0.6469,0.7391,0.8015,0.8055,0.1602,0.1287,0.103657,2.824990,2.909038,4998,0.0533,1.5000,0.3000,1.0093,0.0500
10,1000,10000,21,0.146941,0.001748,0.146242,0.111475,0.107287,0.014316,0.6936,0.8025,0.8619,0.8657,-0.4095,-0.4169,0.080931,1.848337,1.887273,4997,0.1963,0.6424,0.4627,0.9687,0.0500
10,1000,10000,22,0.149182,0.001351,0.148494,0.121554,0.144004,0.014317,0.8060,0.9112,0.9766,0.9780,-0.5911,-0.5892,0.082291,0.932483,0.942945,5000,0.1852,0.2455,1.5000,0.8974,0.0500
10,1000,10000,23,0.149697,0.001778,0.149010,0.111205,0.110968,0.014317,0.7077,0.8140,0.8790,0.8834,-0.5279,-0.5272,0.080853,1.578384,1.603586,4999,0.1991,0.2114,1.5000,1.0425,0.0500
10,1000,10000,24,0.171456,0.001683,0.170857,0.134891,0.138451,0.014318,0.6902,0.8094,0.8795,0.8825,-0.2944,-0.3050,0.096011,1.693872,1.738047,4996,0.2389,1.5000,1.5000,1.1905,1.0206
10,1000,10000,25,0.175068,0.001774,0.174481,0.131008,0.185070,0.014317,0.8308,0.9516,0.9856,0.9858,-0.4476,-0.4451,0.094217,0.721440,0.725595,4999,0.4284,0.1042,1.5000,0.9587,0.0500
10,1000,10000,26,0.198694,0.002388,0.198178,0.149416,0.067367,0.014317,0.3911,0.4839,0.5503,0.5609,3.5611,3.2199,0.121859,10.021719,10.767338,4999,1.5000,0.4857,0.1020,1.0100,0.0500
10,1000,10000,27,0.170349,0.001834,0.169746,0.135177,0.117529,0.014317,0.6220,0.7449,0.8155,0.8213,-0.0627,-0.0888,0.097859,2.330439,2.403595,4998,0.1873,0.9305,0.5105,1.0310,0.0500
10,1000,10000,28,0.191852,0.002074,0.191317,0.144949,0.126937,0.014317,0.6261,0.7071,0.7677,0.7709,0.4407,0.3955,0.110551,3.180839,3.292966,4998,1.5000,0.0500,1.5000,0.9089,0.0500
10,1000,10000,29,0.145528,0.001752,0.144822,0.106386,0.116841,0.014317,0.7798,0.8596,0.9086,0.9108,-0.5685,-0.5676,0.077188,1.408822,1.429673,5000,0.2493,0.2626,1.5000,0.9097,0.0500
10,1000,10000,30,0.231875,0.001942,0.231433,0.190896,0.143027,0.014317,0.5103,0.6851,0.8256,0.8312,-0.0105,-0.0165,0.133497,2.188047,2.220820,4999,0.4154,0.3668,1.5000,1.0185,0.0500
10,1000,10000,31,0.167724,0.002484,0.167112,0.115830,0.092432,0.014319,0.6653,0.7408,0.7986,0.8054,-0.0767,-0.1071,0.088090,2.777014,2.874582,4996,0.1896,0.5496,1.5000,1.0050,0.0500
