u1,u2,u3,Q_jac,Q_det,gg,ee
-0.070000,-0.050000,-0.400000,0.790619,0.908903,0.068961,0.721646
-0.065000,-0.050000,-0.400000,0.802834,0.916810,0.070794,0.732028
-0.060000,-0.050000,-0.400000,0.815051,0.924259,0.072802,0.742238
-0.055000,-0.050000,-0.400000,0.827183,0.931259,0.074993,0.752178
-0.050000,-0.050000,-0.400000,0.839101,0.937798,0.077367,0.761722
-0.045000,-0.050000,-0.400000,0.850709,0.943887,0.079922,0.770775
-0.040000,-0.050000,-0.400000,0.861908,0.949535,0.082655,0.779242
-0.035000,-0.050000,-0.400000,0.872568,0.954738,0.085548,0.787008
-0.030000,-0.050000,-0.400000,0.882593,0.959507,0.088589,0.793992
-0.025000,-0.050000,-0.400000,0.891883,0.963852,0.091761,0.800110
-0.020000,-0.050000,-0.400000,0.900353,0.967783,0.095048,0.805293
-0.015000,-0.050000,-0.400000,0.907901,0.971303,0.098422,0.809467
-0.010000,-0.050000,-0.400000,0.914463,0.974427,0.101867,0.812584
-0.005000,-0.050000,-0.400000,0.919983,0.977168,0.105366,0.814605
0.000000,-0.050000,-0.400000,0.924404,0.979532,0.108896,0.815496
0.005000,-0.050000,-0.400000,0.927699,0.981536,0.112444,0.815243
0.010000,-0.050000,-0.400000,0.929854,0.983192,0.116003,0.813839
0.015000,-0.050000,-0.400000,0.930866,0.984512,0.119559,0.811295
0.020000,-0.050000,-0.400000,0.930753,0.985511,0.123114,0.807627
0.025000,-0.050000,-0.400000,0.929544,0.986204,0.126673,0.802860
0.030000,-0.050000,-0.400000,0.927290,0.986603,0.130237,0.797041
0.035000,-0.050000,-0.400000,0.924051,0.986723,0.133825,0.790215
0.040000,-0.050000,-0.400000,0.919900,0.986578,0.137453,0.782435
0.045000,-0.050000,-0.400000,0.914917,0.986183,0.141150,0.773755
0.050000,-0.050000,-0.400000,0.909208,0.985552,0.144937,0.764259
0.055000,-0.050000,-0.400000,0.896015,0.984699,0.148848,0.754009
0.060000,-0.050000,-0.400000,0.880997,0.983635,0.152924,0.743067
0.065000,-0.050000,-0.400000,0.865189,0.982377,0.157195,0.731530
0.070000,-0.050000,-0.400000,0.848612,0.980936,0.161703,0.719462
-0.070000,-0.045000,-0.400000,0.799909,0.915940,0.075043,0.724853
-0.065000,-0.045000,-0.400000,0.812720,0.923668,0.077382,0.735327
-0.060000,-0.045000,-0.400000,0.825479,0.930936,0.079867,0.745601
-0.055000,-0.045000,-0.400000,0.838097,0.937751,0.082505,0.755580
-0.050000,-0.045000,-0.400000,0.850444,0.944102,0.085291,0.765141
-0.045000,-0.045000,-0.400000,0.862425,0.950001,0.088221,0.774193
-0.040000,-0.045000,-0.400000,0.873944,0.955458,0.091288,0.782644
-0.035000,-0.045000,-0.400000,0.884871,0.960467,0.094472,0.790386
-0.030000,-0.045000,-0.400000,0.895114,0.965042,0.097761,0.797341
-0.025000,-0.045000,-0.400000,0.904577,0.969191,0.101136,0.803429
-0.020000,-0.045000,-0.400000,0.913177,0.972925,0.104580,0.808586
-0.015000,-0.045000,-0.400000,0.920818,0.976248,0.108065,0.812741
-0.010000,-0.045000,-0.400000,0.927440,0.979174,0.111576,0.815852
-0.005000,-0.045000,-0.400000,0.932990,0.981717,0.115097,0.817881
0.000000,-0.045000,-0.400000,0.937416,0.983884,0.118605,0.818799
0.005000,-0.045000,-0.400000,0.940695,0.985690,0.122091,0.818593
0.010000,-0.045000,-0.400000,0.942818,0.987149,0.125548,0.817258
0.015000,-0.045000,-0.400000,0.943782,0.988273,0.128964,0.814806
0.020000,-0.045000,-0.400000,0.943610,0.989076,0.132344,0.811254
0.025000,-0.045000,-0.400000,0.942333,0.989574,0.135694,0.806627
0.030000,-0.045000,-0.400000,0.940002,0.989779,0.139020,0.800970
0.035000,-0.045000,-0.400000,0.936679,0.989706,0.142340,0.794328
0.040000,-0.045000,-0.400000,0.931931,0.989370,0.145675,0.786752
0.045000,-0.045000,-0.400000,0.920094,0.988785,0.149054,0.778293
0.050000,-0.045000,-0.400000,0.907387,0.987965,0.152500,0.769033
0.055000,-0.045000,-0.400000,0.893833,0.986925,0.156051,0.759030
0.060000,-0.045000,-0.400000,0.879450,0.985676,0.159748,0.748344
0.065000,-0.045000,-0.400000,0.864299,0.984234,0.163623,0.737068
0.070000,-0.045000,-0.400000,0.848397,0.982611,0.167720,0.725263
-0.070000,-0.040000,-0.400000,0.810058,0.922491,0.083147,0.726899
-0.065000,-0.040000,-0.400000,0.823359,0.930028,0.085916,0.737431
-0.060000,-0.040000,-0.400000,0.836547,0.937102,0.088801,0.747734
-0.055000,-0.040000,-0.400000,0.849534,0.943720,0.091804,0.757718
-0.050000,-0.040000,-0.400000,0.862191,0.949873,0.094916,0.767263
-0.045000,-0.040000,-0.400000,0.874424,0.955571,0.098132,0.776280
-0.040000,-0.040000,-0.400000,0.886140,0.960825,0.101443,0.784685
-0.035000,-0.040000,-0.400000,0.897212,0.965631,0.104827,0.792372
-0.030000,-0.040000,-0.400000,0.907552,0.970000,0.108272,0.799268
-0.025000,-0.040000,-0.400000,0.917068,0.973943,0.111757,0.805299
-0.020000,-0.040000,-0.400000,0.925683,0.977471,0.115267,0.810404
