scan_kind,x_axis,y_axis,x_index,y_index,rabi_ratio,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,score
heatmap,sideband,fcl,1,11,1,-2,-0.66666666666666663,0.75530076300641913,0.07302183798288249,0.085838699505349197,0.085838699505349197,0.07302183798288249
heatmap,sideband,fcl,2,11,1,-1.8666666666666667,-0.66666666666666663,0.76674876302767203,0.081887171304280582,0.075682032834023735,0.075682032834023735,0.081887171304280582
heatmap,sideband,fcl,3,11,1,-1.7333333333333334,-0.66666666666666663,0.64012626217650381,0.099325932157175501,0.13027390283316032,0.13027390283316032,0.099325932157175501
heatmap,sideband,fcl,4,11,1,-1.6000000000000001,-0.66666666666666663,0.64621390794817613,0.099649628430319215,0.12706823181075233,0.12706823181075233,0.099649628430319215
heatmap,sideband,fcl,5,11,1,-1.4666666666666666,-0.66666666666666663,0.49544003161734029,0.30441960445473193,0.10007018196396385,0.10007018196396385,0.30441960445473193
heatmap,sideband,fcl,6,11,1,-1.3333333333333333,-0.66666666666666663,0.53617716400436055,0.25663434052264855,0.10359424773649543,0.10359424773649543,0.25663434052264855
heatmap,sideband,fcl,7,11,1,-1.2,-0.66666666666666663,0.4966332108319832,0.32825249311143168,0.087557148028292592,0.087557148028292592,0.32825249311143168
heatmap,sideband,fcl,8,11,1,-1.0666666666666667,-0.66666666666666663,0.20709299137673687,0.52136908876226917,0.13576895993049695,0.13576895993049695,0.52136908876226917
heatmap,sideband,fcl,9,11,1,-0.93333333333333335,-0.66666666666666663,0.17526384902822345,0.47233041794107444,0.176202866515351,0.176202866515351,0.47233041794107444
heatmap,sideband,fcl,10,11,1,-0.80000000000000004,-0.66666666666666663,0.12446314275604314,0.46516111684881206,0.20518787019757234,0.20518787019757234,0.46516111684881206
heatmap,sideband,fcl,11,11,1,-0.66666666666666663,-0.66666666666666663,0.097554560362060727,0.48206423363272677,0.21019060300260625,0.21019060300260625,0.48206423363272677
heatmap,sideband,fcl,12,11,1,-0.53333333333333333,-0.66666666666666663,0.17906622124959917,0.41987398865756737,0.20052989504641672,0.20052989504641672,0.41987398865756737
heatmap,sideband,fcl,13,11,1,-0.40000000000000002,-0.66666666666666663,0.35169010944292861,0.27580256545289816,0.18625366255208659,0.18625366255208659,0.27580256545289816
