scan_kind,sequence_name,sequence_label,numMS,scan_name,x_axis,y_axis,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,17,2,1,0.033333333333333333,0,-1.8666666666666667,0.83239235491728469,0.057378483115452787,0.055114580983631221,0.055114580983631221,0.11022916196726244,0.7750138718018319,9.2727763303247752e-05,0.99989549141336287,0.057378483115452787
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,18,2,1,0.066666666666666666,0,-1.8666666666666667,0.82152437348915797,0.07687124156307576,0.050802192473883144,0.050802192473883144,0.10160438494776629,0.74465313192608218,9.2727763303247752e-05,0.99989549141336287,0.07687124156307576
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,19,2,1,0.10000000000000001,0,-1.8666666666666667,0.80676955504397296,0.10136588317571607,0.045932280890155538,0.045932280890155538,0.091864561780311077,0.70540367186825692,9.2727763303247752e-05,0.99989549141336287,0.10136588317571607
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,20,2,1,0.13333333333333333,0,-1.8666666666666667,0.78836612814243145,0.13002087325314166,0.040806499302213459,0.040806499302213459,0.081612998604426917,0.65834525488928985,9.2727763303247752e-05,0.99989549141336287,0.13002087325314166
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,21,2,1,0.16666666666666666,0,-1.8666666666666667,0.76658542916616079,0.16188107756038506,0.035766746636727166,0.035766746636727166,0.071533493273454332,0.60470435160577574,9.2727763303247752e-05,0.99989549141336287,0.16188107756038506
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,22,2,1,0.20000000000000001,0,-1.8666666666666667,0.74172973146620103,0.19591714202261856,0.031176563255590196,0.031176563255590196,0.062353126511180391,0.54581258944358246,9.2727763303247752e-05,0.99989549141336287,0.19591714202261856
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,23,2,1,0.23333333333333334,0,-1.8666666666666667,0.71412939070887238,0.23106809892227667,0.027401255184425474,0.027401255184425474,0.054802510368850949,0.48306129178659574,9.2727763303247752e-05,0.99989549141336287,0.23106809892227667
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,24,2,1,0.26666666666666666,0,-1.8666666666666667,0.68413893012491844,0.26628522049908243,0.024787924687999608,0.024787924687999608,0.049575849375999216,0.41785370962583601,9.2727763303247752e-05,0.99989549141336287,0.26628522049908243
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,25,2,1,0.29999999999999999,0,-1.8666666666666667,0.65213185045588096,0.3005750497699613,0.023646549887078833,0.023646549887078833,0.047293099774157667,0.35155680068591966,9.2727763303247752e-05,0.99989549141336287,0.3005750497699613
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,26,2,1,0.33333333333333331,0,-1.8666666666666667,0.61849418037637283,0.33303953782499246,0.024233140899317364,0.024233140899317364,0.048466281798634728,0.28545464255138037,9.2727763303247752e-05,0.99989549141336287,0.33303953782499246
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,27,2,1,0.36666666666666664,0,-1.8666666666666667,0.58361699527549715,0.36291133941894554,0.026735832652778645,0.026735832652778645,0.053471665305557289,0.22070565585655161,9.2727763303247752e-05,0.99989549141336287,0.36291133941894554
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,28,2,1,0.40000000000000002,0,-1.8666666666666667,0.5478883544021399,0.38958253665806297,0.031264554469898551,0.031264554469898551,0.062529108939797101,0.15830581774407693,9.2727763303247752e-05,0.99989549141336287,0.38958253665806297
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,29,2,1,0.43333333333333335,0,-1.8666666666666667,0.51168526034148853,0.41262537635684637,0.037844681650832615,0.037844681650832615,0.07568936330166523,0.099059883984642161,9.2727763303247752e-05,0.99989549141336287,0.41262537635684637
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,30,2,1,0.46666666666666667,0,-1.8666666666666667,0.47536634433171393,0.4318040032125105,0.046414826227887764,0.046414826227887764,0.092829652455775527,0.043562341119203429,9.2727763303247752e-05,0.99989549141336287,0.4318040032125105
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,31,2,1,0.5,0,-1.8666666666666667,0.43926595924317213,0.44707664875676184,0.056828696000032999,0.056828696000032999,0.113657392000066,-0.0078106895135897081,9.2727763303247752e-05,0.99989549141336287,0.44707664875676184
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,1,3,1,-0.5,0,-1.7333333333333334,0.18941750404483534,0.47277154936823207,0.16890547329346633,0.16890547329346633,0.33781094658693267,-0.2833540453233967,9.2727763303247752e-05,0.99989549141336287,0.47277154936823207
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,2,3,1,-0.46666666666666667,0,-1.7333333333333334,0.23375598704647291,0.46196281165148717,0.15214060065101997,0.15214060065101997,0.30428120130203995,-0.22820682460501426,9.2727763303247752e-05,0.99989549141336287,0.46196281165148717
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,3,3,1,-0.43333333333333335,0,-1.7333333333333334,0.281995693863899,0.44487720738949066,0.1365635493733052,0.1365635493733052,0.2731270987466104,-0.16288151352559166,9.2727763303247752e-05,0.99989549141336287,0.44487720738949066
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,4,3,1,-0.40000000000000002,0,-1.7333333333333334,0.33302704186489629,0.42189248619804093,0.12254023596853136,0.12254023596853136,0.24508047193706273,-0.088865444333144639,9.2727763303247752e-05,0.99989549141336287,0.42189248619804093
