axis,u_scan,u1,u2,u3,Q_jac_det,Q_det,Q_shot_mean,Q_shot_std,Q_db_mean,Q_db_std,bias_empirical,bias_theory,bias_residual,db_error,gg,ee
u1,-0.029899,-0.029899,0.003966,0.082414,0.983998,0.994494,0.981046,0.004290,0.982136,0.004709,0.002952,0.002710,0.000243,0.001862,0.145318,0.838669
u1,-0.029196,-0.029196,0.003966,0.082414,0.984779,0.994788,0.981882,0.004610,0.983072,0.005071,0.002897,0.002753,0.000144,0.001707,0.145361,0.839405
u1,-0.028492,-0.028492,0.003966,0.082414,0.985534,0.995071,0.982755,0.004093,0.983964,0.004590,0.002779,0.002794,-0.000015,0.001570,0.145402,0.840120
u1,-0.027789,-0.027789,0.003966,0.082414,0.986236,0.995347,0.983057,0.005043,0.984210,0.005551,0.003179,0.002793,0.000385,0.002026,0.145441,0.840823
u1,-0.027085,-0.027085,0.003966,0.082414,0.986880,0.995613,0.982593,0.005230,0.983674,0.005743,0.004287,0.002758,0.001529,0.003207,0.145477,0.841503
u1,-0.026382,-0.026382,0.003966,0.082414,0.987514,0.995873,0.984507,0.004687,0.985615,0.005108,0.003007,0.002725,0.000282,0.001899,0.145511,0.842172
u1,-0.025678,-0.025678,0.003966,0.082414,0.988129,0.996122,0.985510,0.004750,0.986658,0.005224,0.002619,0.002695,-0.000075,0.001471,0.145543,0.842818
u1,-0.024975,-0.024975,0.003966,0.082414,0.988733,0.996365,0.985645,0.005235,0.986842,0.005766,0.003089,0.002667,0.000421,0.001892,0.145573,0.843452
u1,-0.024271,-0.024271,0.003966,0.082414,0.989319,0.996597,0.986692,0.004502,0.987970,0.005025,0.002626,0.002643,-0.000017,0.001348,0.145600,0.844064
u1,-0.023568,-0.023568,0.003966,0.082414,0.989889,0.996822,0.987727,0.004072,0.988963,0.004496,0.002162,0.002623,-0.000461,0.000925,0.145624,0.844659
u1,-0.022864,-0.022864,0.003966,0.082414,0.990448,0.997039,0.988083,0.004161,0.989380,0.004667,0.002365,0.002607,-0.000242,0.001068,0.145646,0.845240
u1,-0.022161,-0.022161,0.003966,0.082414,0.990988,0.997247,0.988660,0.004278,0.990006,0.004852,0.002328,0.002595,-0.000267,0.000982,0.145666,0.845800
u1,-0.021457,-0.021457,0.003966,0.082414,0.991517,0.997449,0.988852,0.004658,0.990272,0.005263,0.002665,0.002589,0.000076,0.001246,0.145683,0.846346
u1,-0.020754,-0.020754,0.003966,0.082414,0.992027,0.997640,0.990139,0.004376,0.991620,0.004961,0.001888,0.002589,-0.000700,0.000408,0.145698,0.846871
u1,-0.020050,-0.020050,0.003966,0.082414,0.992526,0.997825,0.990454,0.003848,0.991967,0.004505,0.002072,0.002597,-0.000524,0.000559,0.145711,0.847382
u1,-0.019347,-0.019347,0.003966,0.082414,0.993006,0.998001,0.990721,0.003839,0.992234,0.004492,0.002284,0.002613,-0.000329,0.000772,0.145720,0.847872
u1,-0.018643,-0.018643,0.003966,0.082414,0.993474,0.998170,0.991622,0.003291,0.993312,0.003922,0.001852,0.002640,-0.000788,0.000162,0.145728,0.848347
u1,-0.017940,-0.017940,0.003966,0.082414,0.993923,0.998329,0.990826,0.004678,0.992420,0.005568,0.003097,0.002678,0.000419,0.001503,0.145733,0.848801
u1,-0.017236,-0.017236,0.003966,0.082414,0.994358,0.998481,0.992191,0.003764,0.993965,0.004544,0.002167,0.002728,-0.000561,0.000393,0.145735,0.849238
u1,-0.016533,-0.016533,0.003966,0.082414,0.994780,0.998626,0.992234,0.004259,0.994074,0.005086,0.002546,0.002791,-0.000245,0.000706,0.145735,0.849660
u1,-0.015829,-0.015829,0.003966,0.082414,0.995183,0.998762,0.992428,0.004138,0.994268,0.005021,0.002756,0.002868,-0.000112,0.000915,0.145732,0.850061
u1,-0.015126,-0.015126,0.003966,0.082414,0.995575,0.998891,0.993556,0.003754,0.995680,0.004698,0.002018,0.002959,-0.000940,-0.000105,0.145726,0.850447
u1,-0.014422,-0.014422,0.003966,0.082414,0.995948,0.999012,0.992747,0.004157,0.994569,0.005152,0.003200,0.003063,0.000138,0.001379,0.145719,0.850812
u1,-0.013719,-0.013719,0.003966,0.082414,0.996308,0.999125,0.992755,0.004374,0.994541,0.005341,0.003553,0.003181,0.000372,0.001767,0.145708,0.851162
u1,-0.013015,-0.013015,0.003966,0.082414,0.996651,0.999230,0.993258,0.004711,0.995136,0.005728,0.003393,0.003311,0.000082,0.001515,0.145695,0.851491
u1,-0.012312,-0.012312,0.003966,0.082414,0.996980,0.999329,0.993003,0.004582,0.994648,0.005487,0.003977,0.003453,0.000524,0.002333,0.145679,0.851805
u1,-0.011608,-0.011608,0.003966,0.082414,0.997292,0.999418,0.993737,0.004410,0.995527,0.005279,0.003555,0.003604,-0.000049,0.001765,0.145661,0.852099
u1,-0.010905,-0.010905,0.003966,0.082414,0.997591,0.999501,0.993567,0.004320,0.995224,0.005193,0.004024,0.003764,0.000260,0.002366,0.145640,0.852376
u1,-0.010201,-0.010201,0.003966,0.082414,0.997872,0.999576,0.993561,0.004166,0.995057,0.004945,0.004311,0.003929,0.000382,0.002815,0.145616,0.852634
u1,-0.009497,-0.009497,0.003966,0.082414,0.998138,0.999644,0.993847,0.004926,0.995392,0.005672,0.004291,0.004098,0.000193,0.002746,0.145590,0.852874
u1,-0.008794,-0.008794,0.003966,0.082414,0.998390,0.999704,0.993997,0.004441,0.995436,0.005101,0.004394,0.004271,0.000123,0.002954,0.145562,0.853097
u1,-0.008090,-0.008090,0.003966,0.082414,0.998625,0.999757,0.993634,0.003924,0.995063,0.004580,0.004991,0.004442,0.000549,0.003562,0.145530,0.853301
u1,-0.007387,-0.007387,0.003966,0.082414,0.998847,0.999802,0.994210,0.003992,0.995715,0.004654,0.004636,0.004612,0.000024,0.003131,0.145496,0.853488
u1,-0.006683,-0.006683,0.003966,0.082414,0.999051,0.999841,0.994424,0.004342,0.995922,0.004967,0.004627,0.004777,-0.000150,0.003129,0.145460,0.853656
u1,-0.005980,-0.005980,0.003966,0.082414,0.999240,0.999872,0.993803,0.004151,0.995205,0.004790,0.005437,0.004936,0.000500,0.004035,0.145420,0.853807
u1,-0.005276,-0.005276,0.003966,0.082414,0.999330,0.999895,0.994593,0.003902,0.996182,0.004499,0.004737,0.005005,-0.000267,0.003148,0.145379,0.853939
u1,-0.004573,-0.004573,0.003966,0.082414,0.999400,0.999912,0.993927,0.004454,0.995175,0.004991,0.005473,0.005060,0.000413,0.004225,0.145334,0.854054
