seed,initial_seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
769063,769063,1000,113000,112,0.99976754148942748,1,0,0,0,-0,-0,-0,0.53631236047349007,0.38254794967868366,1.5,1.1487373383562747,0.79744734960429275,510.53278994560242
310012,310012,1000,113000,112,0.99978881172344125,1,0,0,0,-0,-0,-0,0.56553910664037188,0.33078619835234391,1.5,1.4012951337893524,0.68270335790061043,920.32642412185669
266070,266070,1000,113000,112,0.9994054398756943,1,0,0,0,-0,-0,-0,0.56670808150847674,0.36800335063166656,1.5,1.2372247214185401,0.86757210564157472,925.7216260433197
191889,191889,1000,113000,112,0.99949616589917301,1,0,0,0,-0,-0,-0,0.58574924413299501,0.32248310966074811,1.5,1.2692599685037158,0.75973744646919494,504.97799301147461
461212,461212,1000,113000,112,0.99900263642696607,1,0,0,0,-0,-0,-0,0.47141792209156425,0.32582739787614262,1.5,1.246430453029048,0.80364563887782314,503.50681519508362
707673,707673,1000,113000,112,0.9989372816934774,0.998,0,0,0,-0,-0,-0,0.56543039583654353,0.34822909327647517,1.5,1.3919227643856971,0.6785062040514217,511.4507110118866
29044,29044,1000,113000,112,0.99918854447113381,0.998,0,0,0,-0,-0,-0,0.54769507833311037,0.32465385067892177,1.5,1.281397703772011,0.73926264993140234,518.23041105270386
621551,621551,1000,113000,112,0.99940814243605713,0.997,0,0,0,-0,-0,-0,0.53614898407938771,0.2985017242708109,1.5,1.1024082234489432,0.83244235571340452,521.12028193473816
460176,460176,1000,113000,112,0.99968409386166013,0.999,0,0,0,-0,-0,-0,0.56391583286912828,0.28198907213519053,1.5,1.2260586336518493,0.89144134459516011,518.2872998714447
603072,603072,1000,113000,112,0.99979653845246208,1,0,0,0,-0,-0,-0,0.5286196144386226,0.3385134938316875,1.5,1.2100132384671936,0.66952566612409892,919.8901150226593
265386,265386,1000,113000,112,0.99949729576316959,0.999,0,0,0,-0,-0,-0,0.58287361841004892,0.34627481020740741,1.5,1.3108172327629022,0.80583859781472411,883.76479697227478
617573,617573,1000,113000,112,0.99824932459362237,0.997,0,0,0,-0,-0,-0,0.535735992998848,0.33832411687865166,1.5,1.2060232751128008,0.67795026478988107,532.72282791137695
705471,705471,1000,113000,112,0.99985299163344044,1,0,0,0,-0,-0,-0,0.54334614778306034,0.34179736488657153,1.5,1.2363627910236976,0.53856196326796568,550.91024398803711
666520,666520,1000,113000,112,0.99897632535925907,1,0,0,0,-0,-0,-0,0.54875592154693753,0.33006210760605353,1.5,1.2382145606533717,0.4474419586852928,588.70517301559448
950438,950438,1000,113000,112,0.99980742889768481,1,0,0,0,-0,-0,-0,0.56682345135248902,0.36511091809972668,1.5,1.216374499090545,0.67059699934417671,821.01638889312744
632485,632485,1000,113000,112,0.99992751232975086,1,0,0,0,-0,-0,-0,0.67216684003045135,0.36706816110506557,1.5,1.481621448834922,0.87814169259229524,893.53780317306519
321202,321202,1000,113000,112,0.99993392895592803,1,0,0,0,-0,-0,-0,0.60764322145290173,0.31898570366780699,1.5,1.3301652330015323,0.66339821123336284,843.74040389060974
