score_mode,N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
full_l1,100,387749,1,10,22,fcl,-0.14499999999999999,-1.45,kHz,0.67555684782234771,0.053322335644906287
full_l1,100,387749,1,10,22,fcl,-0.14000000000000001,-1.4000000000000001,kHz,0.68354297656756491,0.05414549333539756
full_l1,100,387749,1,10,22,fcl,-0.13500000000000001,-1.3500000000000001,kHz,0.69136187478897793,0.054898327744334466
full_l1,100,387749,1,10,22,fcl,-0.13,-1.3,kHz,0.69899543887436333,0.055578308549196979
full_l1,100,387749,1,10,22,fcl,-0.125,-1.25,kHz,0.70642584290748411,0.056186430268114901
full_l1,100,387749,1,10,22,fcl,-0.12,-1.2,kHz,0.71363556528874783,0.05672678996131332
full_l1,100,387749,1,10,22,fcl,-0.115,-1.1499999999999999,kHz,0.72060741117742688,0.057206168116744442
full_l1,100,387749,1,10,22,fcl,-0.11,-1.1000000000000001,kHz,0.72732453262698815,0.057633607656456837
full_l1,100,387749,1,10,22,fcl,-0.105,-1.05,kHz,0.73377044834402927,0.058019984961695074
full_l1,100,387749,1,10,22,fcl,-0.10000000000000001,-1,kHz,0.73992906512973233,0.058377568470082422
full_l1,100,387749,1,10,22,fcl,-0.095000000000000001,-0.94999999999999996,kHz,0.74578470322224688,0.058719564126444183
full_l1,100,387749,1,10,22,fcl,-0.089999999999999997,-0.90000000000000002,kHz,0.75132212790253872,0.059059652163286472
full_l1,100,387749,1,10,22,fcl,-0.085000000000000006,-0.85000000000000009,kHz,0.75652658979888043,0.059411525595054436
full_l1,100,387749,1,10,22,fcl,-0.080000000000000002,-0.80000000000000004,kHz,0.76138387626016846,0.059788446450841172
full_l1,100,387749,1,10,22,fcl,-0.074999999999999997,-0.75,kHz,0.76588037589335634,0.060202839972451336
full_l1,100,387749,1,10,22,fcl,-0.070000000000000007,-0.70000000000000007,kHz,0.77000315780659689,0.060665948591591093
full_l1,100,387749,1,10,22,fcl,-0.065000000000000002,-0.65000000000000002,kHz,0.77374006621727676,0.061187565591773477
full_l1,100,387749,1,10,22,fcl,-0.059999999999999998,-0.59999999999999998,kHz,0.77707982986322399,0.061775862711694801
full_l1,100,387749,1,10,22,fcl,-0.055,-0.55000000000000004,kHz,0.78001218414678741,0.062437317178833072
full_l1,100,387749,1,10,22,fcl,-0.050000000000000003,-0.5,kHz,0.78252800227057751,0.063176733257461273
full_l1,100,387749,1,10,22,fcl,-0.044999999999999998,-0.45000000000000001,kHz,0.78461942998728917,0.063997343391975131
full_l1,100,387749,1,10,22,fcl,-0.040000000000000001,-0.40000000000000002,kHz,0.78628001722885044,0.064900966478577862
full_l1,100,387749,1,10,22,fcl,-0.035000000000000003,-0.35000000000000003,kHz,0.78750483904905577,0.065888197187066483
full_l1,100,387749,1,10,22,fcl,-0.029999999999999999,-0.29999999999999999,kHz,0.78829059820231839,0.066958601071869461
full_l1,100,387749,1,10,22,fcl,-0.025000000000000001,-0.25,kHz,0.78863570237779679,0.068110894872616359
full_l1,100,387749,1,10,22,fcl,-0.02,-0.20000000000000001,kHz,0.78854031056757334,0.069343098502641004
full_l1,100,387749,1,10,22,fcl,-0.014999999999999999,-0.14999999999999999,kHz,0.78800634509392142,0.070652653006082172
full_l1,100,387749,1,10,22,fcl,-0.01,-0.10000000000000001,kHz,0.78703746818349352,0.072036505636199857
full_l1,100,387749,1,10,22,fcl,-0.0050000000000000001,-0.050000000000000003,kHz,0.78563902434770649,0.073491168097883322
full_l1,100,387749,1,10,22,fcl,0,0,kHz,0.78381795192467962,0.075012756498913979
full_l1,100,387749,1,10,22,fcl,0.0050000000000000001,0.050000000000000003,kHz,0.78158266874781968,0.076597021854006367
full_l1,100,387749,1,10,22,fcl,0.01,0.10000000000000001,kHz,0.77894293791707359,0.078239378659658049
full_l1,100,387749,1,10,22,fcl,0.014999999999999999,0.14999999999999999,kHz,0.77590972004854086,0.079934936832091491
full_l1,100,387749,1,10,22,fcl,0.02,0.20000000000000001,kHz,0.77249501823525535,0.081678539848165546
full_l1,100,387749,1,10,22,fcl,0.025000000000000001,0.25,kHz,0.76871172138731558,0.08346480974783195
full_l1,100,387749,1,10,22,fcl,0.029999999999999999,0.29999999999999999,kHz,0.76457345077534766,0.08528819802795333
full_l1,100,387749,1,10,22,fcl,0.035000000000000003,0.35000000000000003,kHz,0.76009441361516794,0.087143040467395821
full_l1,100,387749,1,10,22,fcl,0.040000000000000001,0.40000000000000002,kHz,0.7552892665199582,0.089023613517815903
full_l1,100,387749,1,10,22,fcl,0.044999999999999998,0.45000000000000001,kHz,0.75017299069561705,0.090924189941002154
full_l1,100,387749,1,10,22,fcl,0.050000000000000003,0.5,kHz,0.74476077992085554,0.092839091714561936
full_l1,100,387749,1,10,22,fcl,0.055,0.55000000000000004,kHz,0.73906794166415324,0.094762738717893466
full_l1,100,387749,1,10,22,fcl,0.059999999999999998,0.59999999999999998,kHz,0.73310981115179308,0.096689692235718341
full_l1,100,387749,1,10,22,fcl,0.065000000000000002,0.65000000000000002,kHz,0.72690167780668458,0.098614692800291087
full_l1,100,387749,1,10,22,fcl,0.070000000000000007,0.70000000000000007,kHz,0.72045872320986204,0.1005326922930604
full_l1,100,387749,1,10,22,fcl,0.074999999999999997,0.75,kHz,0.71379596957406877,0.10243888052610592
full_l1,100,387749,1,10,22,fcl,0.080000000000000002,0.80000000000000004,kHz,0.70692823764003965,0.10432870672526091
