score_mode,N,seed,selected_rank,iter,point_idx,x_u1,x_u2,x_u3,y,sigma_y
full_l1,100,387749,1,100,64,-0.014178556786913044,-0.0052464925417152752,-0.39157225518739924,0.98999999999999999,0.012490801563904719
full_l1,100,387749,1,100,65,0.033065465100477587,-0.0027922580976638134,0.10323200013110845,0.98999999999999999,0.010495949543914298
full_l1,100,387749,1,100,66,0.025826081749110497,0.0067779869560451456,0.25745473906097938,1,0.0095878409526254024
full_l1,100,387749,1,100,67,-0.0039366233969577724,-0.0087156322823307431,-0.022777107893924287,1,0.0039217636692010661
full_l1,100,387749,1,100,68,0.0087803812663200809,-0.0024109522122857108,0.2352662368724816,1,0.0076358296589605287
full_l1,100,387749,1,100,69,0.0096607443704872509,-0.0059647891078227211,-0.047984399592266413,1,0.0038545958311729136
full_l1,100,387749,1,100,70,-0.0029851277181394131,0.010629477768897111,0.23493475078094517,0.98999999999999999,0.0059826281296174412
full_l1,100,387749,1,100,71,0.016330683726428541,0.019366021043076831,0.41182770797091539,0.97999999999999998,0.011561183387016396
full_l1,100,387749,1,100,72,0.055670127130805769,0.055188593761424487,0.49468068010589317,0.91000000000000003,0.026369953440132245
full_l1,100,387749,1,100,73,-0.0028344521301546521,-0.011352349485969526,-0.085876326750242482,1,0.0048133803369869244
full_l1,100,387749,1,100,74,0.00050753354232169201,0.00014266555622088894,-0.1953267836796253,0.98999999999999999,0.0070761096407018298
full_l1,100,387749,1,100,75,0.00098869279108360075,-0.009004665221520769,0.13765002665325965,0.98999999999999999,0.0072681731111832433
full_l1,100,387749,1,100,76,0.016233005871538086,-0.011327820223963281,-0.0076658118861654412,0.98999999999999999,0.0073731822743753634
full_l1,100,387749,1,100,77,0.022925819488153865,0.0097284119687341963,0.29103375689547217,0.97999999999999998,0.0095319801858177473
full_l1,100,387749,1,100,78,0.022076158174347604,-0.0063122401656146021,0.15816821496097577,1,0.0093484800616791524
full_l1,100,387749,1,100,79,0.00052975892339923725,-0.00071858880073838449,0.18937136783131781,1,0.0051584268218310761
full_l1,100,387749,1,100,80,0.0070610373307469221,-0.0079597008877902997,0.31033420088827435,0.98999999999999999,0.011919611031763113
full_l1,100,387749,1,100,81,0.010724453489557195,0.0043148939083132998,0.14231554806048341,1,0.0044697837709545187
full_l1,100,387749,1,100,82,-0.0036344232325793424,0.00020406982135368068,0.15179303700428481,1,0.0038799974124517716
full_l1,100,387749,1,100,83,-0.0088943933996230573,0.0076029238068910932,0.35332081972882778,1,0.0087964154973999061
full_l1,100,387749,1,100,84,0.028192091146896692,0.00099928765721846169,0.082957839094847774,0.97999999999999998,0.0086078937167790824
full_l1,100,387749,1,100,85,0.00035708777519993795,0.020170770472504707,0.3703513938469285,1,0.010223947100480994
full_l1,100,387749,1,100,86,0.022070933713601804,-0.0038336657965787335,0.22497187338818736,0.96999999999999997,0.0099309411856274999
full_l1,100,387749,1,100,87,0.0036142452733638475,-0.00055880804471808432,0.11103238934826765,1,0.0028893413035600436
full_l1,100,387749,1,100,88,-0.0068870141829056042,-0.0031334097057111876,0.21108973913567608,1,0.0070138169200551718
full_l1,100,387749,1,100,89,-0.0039834676799470614,-0.015306636595783907,-0.46964754803806641,1,0.012726991698649699
full_l1,100,387749,1,100,90,0.0061813208300851574,-0.020037606145850484,-0.49605153448502115,0.98999999999999999,0.013484319219164329
full_l1,100,387749,1,100,91,-0.018648611454413988,-0.0059488627917838599,-0.068127139523568303,1,0.0063879786736783881
full_l1,100,387749,1,100,92,0.49074569816320901,-0.49196409006223263,-0.46349900019997481,0.050000000000000044,0.022542296526610786
full_l1,100,387749,1,100,93,-0.48926133103014946,-0.49230586513123664,-0.3873011403733666,0.40000000000000002,0.048334283970100977
full_l1,100,387749,1,100,94,0.018570620776124036,-0.0047411446559388892,-0.080684265127275445,1,0.0063450885044688187
full_l1,100,387749,1,100,95,-0.010011227999790817,0.017981461081936212,0.3101028188643451,0.97999999999999998,0.0093094349692096328
full_l1,100,387749,1,100,96,0.0030078621782232418,0.0022397898067074706,-0.48738912650696609,0.95999999999999996,0.016523656117459512
full_l1,100,387749,1,100,97,-0.0017491965527753894,-0.020649091291410793,-0.36717955578952433,0.98999999999999999,0.010645871346282426
full_l1,100,387749,1,100,98,-0.0060803917768041948,-0.0068808757889762262,-0.12686375221528534,1,0.0043389615803943668
full_l1,100,387749,1,100,99,-0.010777833501631084,-0.0063145606764878348,-0.33684855943896741,0.96999999999999997,0.010393814590538552
full_l1,100,387749,1,100,100,-0.0046495243808322151,-0.036896044556449237,-0.47454216218859591,0.94999999999999996,0.016186134052098042
