N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
100,191889,1,10,22,fcl,-0.13,-1.3,kHz,0.81175995139851731,0.047461553988505455
100,191889,1,10,22,fcl,-0.125,-1.25,kHz,0.82242203759792276,0.045822674507299592
100,191889,1,10,22,fcl,-0.12,-1.2,kHz,0.83298920431907408,0.044158305272895861
100,191889,1,10,22,fcl,-0.115,-1.1499999999999999,kHz,0.84344045529622624,0.042472265781365356
100,191889,1,10,22,fcl,-0.11,-1.1000000000000001,kHz,0.85375407282236315,0.040770320234203489
100,191889,1,10,22,fcl,-0.105,-1.05,kHz,0.86390763958379624,0.039060145767041927
100,191889,1,10,22,fcl,-0.10000000000000001,-1,kHz,0.87387806825812242,0.037351253014332883
100,191889,1,10,22,fcl,-0.095000000000000001,-0.94999999999999996,kHz,0.88364164045747184,0.03565484577340073
100,191889,1,10,22,fcl,-0.089999999999999997,-0.90000000000000002,kHz,0.89317405697641039,0.033983598845002919
100,191889,1,10,22,fcl,-0.085000000000000006,-0.85000000000000009,kHz,0.90245050205794319,0.032351322548389197
100,191889,1,10,22,fcl,-0.080000000000000002,-0.80000000000000004,kHz,0.91144572563976589,0.030772469322859562
100,191889,1,10,22,fcl,-0.074999999999999997,-0.75,kHz,0.92013414928807369,0.029261425038294677
100,191889,1,10,22,fcl,-0.070000000000000007,-0.70000000000000007,kHz,0.92849000349029409,0.027831522480108822
100,191889,1,10,22,fcl,-0.065000000000000002,-0.65000000000000002,kHz,0.93648750536819148,0.026493730654201367
100,191889,1,10,22,fcl,-0.059999999999999998,-0.59999999999999998,kHz,0.94410108513272761,0.025255030236263458
100,191889,1,10,22,fcl,-0.055,-0.55000000000000004,kHz,0.95130566438813968,0.024116599585530685
100,191889,1,10,22,fcl,-0.050000000000000003,-0.5,kHz,0.95807697728353625,0.023072104555325899
100,191889,1,10,22,fcl,-0.044999999999999998,-0.45000000000000001,kHz,0.96439190606161629,0.022106565001587329
100,191889,1,10,22,fcl,-0.040000000000000001,-0.40000000000000002,kHz,0.97022878043064731,0.021196372124245699
100,191889,1,10,22,fcl,-0.035000000000000003,-0.35000000000000003,kHz,0.97556757670859495,0.02031096114562031
100,191889,1,10,22,fcl,-0.029999999999999999,-0.29999999999999999,kHz,0.98038996138346701,0.019416395938784897
100,191889,1,10,22,fcl,-0.025000000000000001,-0.25,kHz,0.98467915968136865,0.018480839668835774
100,191889,1,10,22,fcl,-0.02,-0.20000000000000001,kHz,0.98841968241372213,0.017481812660034741
100,191889,1,10,22,fcl,-0.014999999999999999,-0.14999999999999999,kHz,0.99159699560589598,0.016415448358454654
100,191889,1,10,22,fcl,-0.01,-0.10000000000000001,kHz,0.99419726096219108,0.015308525634734518
100,191889,1,10,22,fcl,-0.0050000000000000001,-0.050000000000000003,kHz,0.99620733119338933,0.014234030451656565
100,191889,1,10,22,fcl,0,0,kHz,0.99761529352699663,0.013327617224048269
100,191889,1,10,22,fcl,0.0050000000000000001,0.050000000000000003,kHz,0.99841201680272151,0.012790033061176008
100,191889,1,10,22,fcl,0.01,0.10000000000000001,kHz,0.99859409382682496,0.012842377662253003
100,191889,1,10,22,fcl,0.014999999999999999,0.14999999999999999,kHz,0.99816751130529902,0.013623282661605417
100,191889,1,10,22,fcl,0.02,0.20000000000000001,kHz,0.99714953731701983,0.015112153321282818
100,191889,1,10,22,fcl,0.025000000000000001,0.25,kHz,0.99556690168775419,0.01716738975464795
100,191889,1,10,22,fcl,0.029999999999999999,0.29999999999999999,kHz,0.99345180976205993,0.019619630178712436
100,191889,1,10,22,fcl,0.035000000000000003,0.35000000000000003,kHz,0.99083843067791566,0.022327349131817741
100,191889,1,10,22,fcl,0.040000000000000001,0.40000000000000002,kHz,0.98776075251961259,0.025187606859346987
100,191889,1,10,22,fcl,0.044999999999999998,0.45000000000000001,kHz,0.98425147291681259,0.028128844647300484
100,191889,1,10,22,fcl,0.050000000000000003,0.5,kHz,0.98034146439759184,0.031101504218937381
100,191889,1,10,22,fcl,0.055,0.55000000000000004,kHz,0.9760595328602597,0.034070854682116167
100,191889,1,10,22,fcl,0.059999999999999998,0.59999999999999998,kHz,0.97143232827573112,0.037012211281986056
100,191889,1,10,22,fcl,0.065000000000000002,0.65000000000000002,kHz,0.96648433993984895,0.039907872063875229
100,191889,1,10,22,fcl,0.070000000000000007,0.70000000000000007,kHz,0.96123794273331364,0.04274515861060816
100,191889,1,10,22,fcl,0.074999999999999997,0.75,kHz,0.95571347648987071,0.045515142340507742
100,191889,1,10,22,fcl,0.080000000000000002,0.80000000000000004,kHz,0.94992934789229933,0.04821179333728827
100,191889,1,10,22,fcl,0.085000000000000006,0.85000000000000009,kHz,0.94390214789705462,0.050831389878028668
100,191889,1,10,22,fcl,0.089999999999999997,0.90000000000000002,kHz,0.93764677956780473,0.053372088970508574
100,191889,1,10,22,fcl,0.095000000000000001,0.94999999999999996,kHz,0.93117659228506655,0.055833595998629713
100,191889,1,10,22,fcl,0.10000000000000001,1,kHz,0.92450351900438199,0.058216894825371325
100,191889,1,10,22,fcl,0.105,1.05,kHz,0.91763821374657639,0.06052401434371716
100,191889,1,10,22,fcl,0.11,1.1000000000000001,kHz,0.91059018690875515,0.062757816950312004
100,191889,1,10,22,fcl,0.115,1.1499999999999999,kHz,0.90336793632868995,0.064921800733903592
100,191889,1,10,22,fcl,0.12,1.2,kHz,0.89597907234508223,0.067019911464190215
100,191889,1,10,22,fcl,0.125,1.25,kHz,0.88843043539080524,0.069056363393483686
100,191889,1,10,22,fcl,0.13,1.3,kHz,0.88072820494994652,0.071035469823235609
100,191889,1,10,22,fcl,0.13500000000000001,1.3500000000000001,kHz,0.87287799901152519,0.072961485565369494
100,191889,1,10,22,fcl,0.14000000000000001,1.4000000000000001,kHz,0.86488496346642685,0.074838463990116927
100,191889,1,10,22,fcl,0.14499999999999999,1.45,kHz,0.85675385121602377,0.076670131408234726
100,191889,1,10,22,fcl,0.14999999999999999,1.5,kHz,0.8484890910813383,0.07845978118729964
100,191889,1,10,22,fcl,0.155,1.55,kHz,0.84009484690625746,0.080210189353220648
100,191889,1,10,22,fcl,0.16,1.6000000000000001,kHz,0.83157506752059018,0.081923552588009388
100,191889,1,10,22,fcl,0.16500000000000001,1.6499999999999999,kHz,0.8229335284531194,0.083601448612371759
100,191889,1,10,22,fcl,0.17000000000000001,1.7000000000000002,kHz,0.81417386644903877,0.085244818038224021
100,191889,1,10,22,fcl,0.17499999999999999,1.75,kHz,0.8052996079435375,0.086853965976780523
100,191889,1,10,22,fcl,0.17999999999999999,1.8,kHz,0.79631419267338754,0.08842858105418791
100,191889,1,10,22,fcl,0.185,1.8500000000000001,kHz,0.78722099357647224,0.089967769054076122
100,191889,1,10,22,fcl,0.19,1.8999999999999999,kHz,0.77802333404558788,0.091470098184020007
100,191889,1,10,22,fcl,0.19500000000000001,1.95,kHz,0.76872450348032406,0.09293365293762354
100,191889,1,10,22,fcl,0.20000000000000001,2,kHz,0.75932777193372747,0.094356093666289054
100,191889,1,10,22,fcl,0.20499999999999999,2.0499999999999998,kHz,0.74983640449196132,0.095734719245605518
100,191889,1,10,22,fcl,0.20999999999999999,2.1000000000000001,kHz,0.74025367586714685,0.097066530578492127
100,191889,1,10,22,fcl,0.215,2.1499999999999999,kHz,0.73058288553490203,0.098348293080513405
100,191889,1,10,22,fcl,0.22,2.2000000000000002,kHz,0.72082737361519078,0.099576596707550716
100,191889,1,10,22,fcl,0.22500000000000001,2.25,kHz,0.71099053758159814,0.10074791248514661
100,191889,1,10,22,fcl,0.23000000000000001,2.2999999999999998,kHz,0.70107584979146842,0.10185864486325982
100,191889,1,10,22,fcl,0.23499999999999999,2.3500000000000001,kHz,0.6910868757573122,0.10290517953832076
100,191889,1,10,22,fcl,0.23999999999999999,2.3999999999999999,kHz,0.68102729302682452,0.10388392665114468
100,191889,1,10,22,fcl,0.245,2.4500000000000002,kHz,0.67090091050275336,0.104791359484195
100,191889,1,10,22,fcl,0.25,2.5,kHz,0.66071168801192048,0.10562404894808702
100,191889,1,10,22,fcl,0.255,2.5499999999999998,kHz,0.65046375592242656,0.10637869427054551
100,191889,1,10,22,fcl,0.26000000000000001,2.6000000000000001,kHz,0.64016143460689967,0.10705215038776193
100,191889,1,10,22,fcl,0.26500000000000001,2.6499999999999999,kHz,0.6298092535551929,0.10764145259518935
100,191889,1,10,22,fcl,0.27000000000000002,2.7000000000000002,kHz,0.61941196995044245,0.10814383904886132
100,191889,1,10,22,fcl,0.27500000000000002,2.75,kHz,0.60897458653589653,0.10855677172543687
100,191889,1,10,22,fcl,0.28000000000000003,2.8000000000000003,kHz,0.59850236861527595,0.10887795645468649
100,191889,1,10,22,fcl,0.28499999999999998,2.8499999999999996,kHz,0.58800086004528718,0.10910536263650536
100,191889,1,10,22,fcl,0.28999999999999998,2.8999999999999999,kHz,0.57747589809451438,0.1092372432494515
100,191889,1,10,22,fcl,0.29499999999999998,2.9500000000000002,kHz,0.56693362705727746,0.10927215575207579
100,191889,1,10,22,fcl,0.29999999999999999,3,kHz,0.55638051052369686,0.10920898447404999
100,191889,1,10,22,fcl,0.30499999999999999,3.0499999999999998,kHz,0.54582334221739959,0.10904696509262699
100,191889,1,10,22,fcl,0.31,3.1000000000000001,kHz,0.53526925531952707,0.10878571179191168
100,191889,1,10,22,fcl,0.315,3.1499999999999999,kHz,0.52472573020133306,0.10842524770756844
100,191889,1,10,22,fcl,0.32000000000000001,3.2000000000000002,kHz,0.51420060048718508,0.10796603926678613
100,191889,1,10,22,fcl,0.32500000000000001,3.25,kHz,0.50370205736435991,0.10740903504026257
100,191889,1,10,22,fcl,0.33000000000000002,3.2999999999999998,kHz,0.4932386520450201,0.10675570972578213
100,191889,1,10,22,fcl,0.33500000000000002,3.3500000000000001,kHz,0.48281929626822573,0.10600811387576707
100,191889,1,10,22,fcl,0.34000000000000002,3.4000000000000004,kHz,0.47245326070477378,0.1051689299553573
100,191889,1,10,22,fcl,0.34499999999999997,3.4499999999999997,kHz,0.46215017109391243,0.10424153526084244
100,191889,1,10,22,fcl,0.34999999999999998,3.5,kHz,0.45192000189730297,0.10323007212356659
