score_mode,axis,x_u,x_physical,physical_unit,score
full_l1,fsb,-0.20499999999999999,-2.0499999999999998,kHz,0.3788603355886595
full_l1,fsb,-0.20000000000000001,-2,kHz,0.38666378511159194
full_l1,fsb,-0.19500000000000001,-1.95,kHz,0.39538049530356201
full_l1,fsb,-0.19,-1.8999999999999999,kHz,0.4050456873850028
full_l1,fsb,-0.185,-1.8500000000000001,kHz,0.41568770058919058
full_l1,fsb,-0.17999999999999999,-1.8,kHz,0.42732716649026736
full_l1,fsb,-0.17499999999999999,-1.75,kHz,0.43997630522180198
full_l1,fsb,-0.17000000000000001,-1.7000000000000002,kHz,0.45363833437205359
full_l1,fsb,-0.16500000000000001,-1.6499999999999999,kHz,0.4683069948498102
full_l1,fsb,-0.16,-1.6000000000000001,kHz,0.48396617111909956
full_l1,fsb,-0.155,-1.55,kHz,0.50058960780627137
full_l1,fsb,-0.14999999999999999,-1.5,kHz,0.51814071327358835
full_l1,fsb,-0.14499999999999999,-1.45,kHz,0.53657245124020325
full_l1,fsb,-0.14000000000000001,-1.4000000000000001,kHz,0.55582731681071107
full_l1,fsb,-0.13500000000000001,-1.3500000000000001,kHz,0.57583741554420687
full_l1,fsb,-0.13,-1.3,kHz,0.59652464249076897
full_l1,fsb,-0.125,-1.25,kHz,0.61780098732752042
full_l1,fsb,-0.12,-1.2,kHz,0.63956897077862729
full_l1,fsb,-0.115,-1.1499999999999999,kHz,0.66172223438456124
full_l1,fsb,-0.11,-1.1000000000000001,kHz,0.68414629111895442
full_l1,fsb,-0.105,-1.05,kHz,0.70671944679615861
full_l1,fsb,-0.10000000000000001,-1,kHz,0.72931389856603901
full_l1,fsb,-0.095000000000000001,-0.94999999999999996,kHz,0.75179700324872401
full_l1,fsb,-0.089999999999999997,-0.90000000000000002,kHz,0.77403270530198198
full_l1,fsb,-0.085000000000000006,-0.85000000000000009,kHz,0.79588310725202727
full_l1,fsb,-0.080000000000000002,-0.80000000000000004,kHz,0.81721015884449766
full_l1,fsb,-0.074999999999999997,-0.75,kHz,0.83787742441905655
full_l1,fsb,-0.070000000000000007,-0.70000000000000007,kHz,0.85775189834449761
full_l1,fsb,-0.065000000000000002,-0.65000000000000002,kHz,0.87670582138056508
full_l1,fsb,-0.059999999999999998,-0.59999999999999998,kHz,0.89461845386012806
full_l1,fsb,-0.055,-0.55000000000000004,kHz,0.91137775806560972
full_l1,fsb,-0.050000000000000003,-0.5,kHz,0.92688195324281342
full_l1,fsb,-0.044999999999999998,-0.45000000000000001,kHz,0.94104089192815443
full_l1,fsb,-0.040000000000000001,-0.40000000000000002,kHz,0.95377723218625976
full_l1,fsb,-0.035000000000000003,-0.35000000000000003,kHz,0.96502737222144153
full_l1,fsb,-0.029999999999999999,-0.29999999999999999,kHz,0.97474212694146223
full_l1,fsb,-0.025000000000000001,-0.25,kHz,0.98288713496478253
