axis,x_u,x_physical,physical_unit,score
fcl,0.065000000000000002,0.65000000000000002,kHz,0.96207443075681831
fcl,0.070000000000000007,0.70000000000000007,kHz,0.95625641031619701
fcl,0.074999999999999997,0.75,kHz,0.950063442300768
fcl,0.080000000000000002,0.80000000000000004,kHz,0.94350451818613623
fcl,0.085000000000000006,0.85000000000000009,kHz,0.93658876557815218
fcl,0.089999999999999997,0.90000000000000002,kHz,0.92932543696708081
fcl,0.095000000000000001,0.94999999999999996,kHz,0.92172390357980993
fcl,0.10000000000000001,1,kHz,0.91379365219372777
fcl,0.105,1.05,kHz,0.90554428638461237
fcl,0.11,1.1000000000000001,kHz,0.89698553205263887
fcl,0.115,1.1499999999999999,kHz,0.88812724471109072
fcl,0.12,1.2,kHz,0.87897942054332068
fcl,0.125,1.25,kHz,0.86955220994067461
fcl,0.13,1.3,kHz,0.85985593184006526
fcl,0.13500000000000001,1.3500000000000001,kHz,0.84990109010718062
fcl,0.14000000000000001,1.4000000000000001,kHz,0.83969839096848198
fcl,0.14499999999999999,1.45,kHz,0.8292587595752513
fcl,0.14999999999999999,1.5,kHz,0.81859335681548062
fcl,0.155,1.55,kHz,0.80771359477135063
fcl,0.16,1.6000000000000001,kHz,0.79663115166436826
fcl,0.16500000000000001,1.6499999999999999,kHz,0.78535798335802676
fcl,0.17000000000000001,1.7000000000000002,kHz,0.77390633306509404
fcl,0.17499999999999999,1.75,kHz,0.76228873711792344
fcl,0.17999999999999999,1.8,kHz,0.75051802915633614
fcl,0.185,1.8500000000000001,kHz,0.73860733884602681
fcl,0.19,1.8999999999999999,kHz,0.72657008474394102
fcl,0.19500000000000001,1.95,kHz,0.71441996709831057
fcl,0.20000000000000001,2,kHz,0.70217095146351116
fcl,0.20499999999999999,2.0499999999999998,kHz,0.68983725042171329
fcl,0.20999999999999999,2.1000000000000001,kHz,0.67743329851299672
fcl,0.215,2.1499999999999999,kHz,0.66497372468640292
fcl,0.22,2.2000000000000002,kHz,0.65247331682204768
fcl,0.22500000000000001,2.25,kHz,0.63994698323062293
fcl,0.23000000000000001,2.2999999999999998,kHz,0.62740971038754256
fcl,0.23499999999999999,2.3500000000000001,kHz,0.6148765160827101
fcl,0.23999999999999999,2.3999999999999999,kHz,0.60236239649498668
fcl,0.245,2.4500000000000002,kHz,0.58988227375464419
fcl,0.25,2.5,kHz,0.57745093846622519
fcl,0.255,2.5499999999999998,kHz,0.56508299009878471
fcl,0.26000000000000001,2.6000000000000001,kHz,0.55279277472871668
fcl,0.26500000000000001,2.6499999999999999,kHz,0.54059432442551214
fcl,0.27000000000000002,2.7000000000000002,kHz,0.52850129343781438
fcl,0.27500000000000002,2.75,kHz,0.51652689534460916
fcl,0.28000000000000003,2.8000000000000003,kHz,0.50468384132297006
fcl,0.28499999999999998,2.8499999999999996,kHz,0.49298428020996782
fcl,0.28999999999999998,2.8999999999999999,kHz,0.48143973943686358
fcl,0.29499999999999998,2.9500000000000002,kHz,0.47006107143543308
fcl,0.29999999999999999,3,kHz,0.45885839860801708
fcl,0.30499999999999999,3.0499999999999998,kHz,0.44784106756691711
fcl,0.31,3.1000000000000001,kHz,0.43701760500878845
fcl,0.315,3.1499999999999999,kHz,0.42639568107572162
fcl,0.32000000000000001,3.2000000000000002,kHz,0.41598207338897308
fcl,0.32500000000000001,3.25,kHz,0.40578264276960324
fcl,0.33000000000000002,3.2999999999999998,kHz,0.39580231197946886
fcl,0.33500000000000002,3.3500000000000001,kHz,0.38604504945358825
