seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
831702,Inf,Inf,112,0.99999958653345644,0.99999958653345644,0,0,0,-0,-0,-0,0.53899763564958458,0.34946223477700683,1.5,0.86197564953572359,0.38729474529526242,515.3062539100647
387749,Inf,Inf,112,0.99999907292231816,0.99999907292231816,0,0,0,-0,-0,-0,0.62242940226999433,0.34539917118520597,1.5,0.97481810653866141,0.38729289338694028,516.62501692771912
16729,Inf,Inf,112,0.9999998173643958,0.9999998173643958,0,0,0,-0,-0,-0,0.57102773302538101,0.33845123596767213,1.5,0.94708979887307987,0.38729423514756633,521.70812916755676
312561,Inf,Inf,112,0.99999976714682381,0.99999976714682381,0,0,0,-0,-0,-0,0.59691099607322073,0.34934799050744791,1.5,0.83008146213663092,0.38729820810245763,513.60516691207886
631837,Inf,Inf,112,0.99999645951434046,0.99999645951434046,0,0,0,-0,-0,-0,0.68681591028698785,0.38025416243622762,1.5,1.0018310042397955,0.3872992414712807,544.62166500091553
567906,Inf,Inf,112,0.99999884309179887,0.99999884309179887,0,0,0,-0,-0,-0,0.50050446459590103,0.38323231179427875,1.5,0.71553164940998248,0.38730020711421803,500.6965389251709
215846,Inf,Inf,112,0.99999981898401835,0.99999981898401835,0,0,0,-0,-0,-0,0.59821539915732802,0.35261885763285489,1.5,0.92676733776879161,0.38729826080317581,874.91583704948425
682041,Inf,Inf,112,0.99999958933521027,0.99999958933521027,0,0,0,-0,-0,-0,0.63119153942583117,0.37507120514547243,1.5,1.0051714455444443,0.38729830856779762,502.67367482185364
184183,Inf,Inf,112,0.99999948666358862,0.99999948666358862,0,0,0,-0,-0,-0,0.52210291625418148,0.30148468667036371,1.5,0.88383164471550779,0.38729938810505027,501.64377093315125
746550,Inf,Inf,112,0.99999788576840742,0.99999788576840742,0,0,0,-0,-0,-0,0.57213910725326844,0.33331974788804469,1.5,0.88222825741853939,0.38729440009133526,597.67337107658386
968356,Inf,Inf,112,0.99999979540371864,0.99999979540371864,0,0,0,-0,-0,-0,0.59969553561679079,0.34789739545934795,1.5,0.94806639001198967,0.38731637437913347,517.41033506393433
644045,Inf,Inf,112,0.99999968320072297,0.99999968320072297,0,0,0,-0,-0,-0,0.63211962685276568,0.34833670322149929,1.5,0.99052634303815212,0.3872988098002943,515.19582295417786
55163,Inf,Inf,112,0.99999962285053379,0.99999962285053379,0,0,0,-0,-0,-0,0.53137262633556659,0.35813475592278515,1.5,0.92296477312756708,0.38730186788050441,535.43304514884949
795829,Inf,Inf,112,0.99999955410162167,0.99999955410162167,0,0,0,-0,-0,-0,0.57414505849630126,0.31125895535495574,1.5,0.89390885350240024,0.38729820521498587,588.1461398601532
709734,Inf,Inf,112,0.99999981510129521,0.99999981510129521,0,0,0,-0,-0,-0,0.59940960391352938,0.3558578316037721,1.5,0.96138862396109248,0.38726445207735744,699.70525884628296
175307,Inf,Inf,112,0.99999974582711204,0.99999974582711204,0,0,0,-0,-0,-0,0.62964940459219854,0.36587838400459827,1.5,1.0144626066499378,0.38729834833200616,712.57436800003052
749598,Inf,Inf,112,0.99999981694388118,0.99999981694388118,0,0,0,-0,-0,-0,0.62173570941314382,0.35241207631141713,1.5,1.023489445808605,0.38729673716042218,895.32314300537109
218892,Inf,Inf,112,0.99999979817345641,0.99999979817345641,0,0,0,-0,-0,-0,0.62086756224672568,0.3898446592933984,1.5,0.96103103803445233,0.38729649559654272,609.90608692169189
279125,Inf,Inf,112,0.99999982145146527,0.99999982145146527,0,0,0,-0,-0,-0,0.52226433387877447,0.30969397150632577,1.5,0.74947387664523613,0.38729959254912522,893.24979305267334
965652,Inf,Inf,112,0.99999921893723509,0.99999921893723509,0,0,0,-0,-0,-0,0.59560788749309224,0.37508567108293583,1.5,0.974924951752274,0.38729549574240779,900.83504104614258
181983,Inf,Inf,112,0.99999962789006147,0.99999962789006147,0,0,0,-0,-0,-0,0.58708046174826789,0.34233832461894975,1.5,0.96166977046567215,0.3872970806028489,902.24512100219727
419030,Inf,Inf,112,0.99999954088402943,0.99999954088402943,0,0,0,-0,-0,-0,0.63499919845917829,0.37222483185620125,1.5,0.98412119154184197,0.38730306894181871,886.86710405349731
888571,Inf,Inf,112,0.99999967505338183,0.99999967505338183,0,0,0,-0,-0,-0,0.55981370476702708,0.41716518717710943,1.5,0.99811430400729462,0.3872977419499356,910.90476298332214
228167,Inf,Inf,112,0.9999997692674818,0.9999997692674818,0,0,0,-0,-0,-0,0.58715072758204478,0.34421564272289723,1.5,0.98799521275112756,0.38729867391603462,890.38938498497009
155832,Inf,Inf,112,0.99999924387780981,0.99999924387780981,0,0,0,-0,-0,-0,0.58785383722256923,0.31492800960480583,1.5,1.0137584686610301,0.38729605233626402,529.16018414497375
262269,Inf,Inf,112,0.9999995536954831,0.9999995536954831,0,0,0,-0,-0,-0,0.59848546777552425,0.36915612078611143,1.5,0.80443578339538335,0.38729879139362688,499.51926422119141
656460,Inf,Inf,112,0.99999980408659905,0.99999980408659905,0,0,0,-0,-0,-0,0.62600399377320071,0.36571040853692754,1.5,0.97712494194691046,0.38730331888392638,505.77959895133972
503506,Inf,Inf,112,0.99999951577247392,0.99999951577247392,0,0,0,-0,-0,-0,0.60884907121410581,0.36741040118372653,1.5,1.0089985772060344,0.38729444910854322,499.75679397583008
893076,Inf,Inf,112,0.99999937674962325,0.99999937674962325,0,0,0,-0,-0,-0,0.55070949643968603,0.32775917615647931,1.5,0.72541304166207565,0.38729710539654189,541.29730606079102
245877,Inf,Inf,112,0.99999862842413922,0.99999862842413922,0,0,0,-0,-0,-0,0.6273179043891467,0.34789752683409264,1.5,0.96389806035930459,0.38728374116226288,514.32289409637451
359706,Inf,Inf,112,0.99999955469470181,0.99999955469470181,0,0,0,-0,-0,-0,0.60656402552819277,0.36438164293191694,1.5,1.0159574893123904,0.38729825055748474,517.84758496284485
828743,Inf,Inf,112,0.99999960573355073,0.99999960573355073,0,0,0,-0,-0,-0,0.58877571902876946,0.35314984660493209,1.5,0.90874960103193148,0.38729930448163924,617.84196710586548
690925,Inf,Inf,112,0.99999890376267886,0.99999890376267886,0,0,0,-0,-0,-0,0.58513314755724999,0.36092945413851674,1.5,0.91742814313215393,0.38729767135743343,513.94670796394348
535117,Inf,Inf,112,0.99999971831930845,0.99999971831930845,0,0,0,-0,-0,-0,0.59477167132934738,0.36055554451519228,1.5,1.0138711925280894,0.38730168194477099,500.88230895996094
246715,Inf,Inf,112,0.99999981177845865,0.99999981177845865,0,0,0,-0,-0,-0,0.60030837425021155,0.35060077166741449,1.5,1.0173455280542785,0.38729767438124663,688.08108901977539
273956,Inf,Inf,112,0.99999947872283401,0.99999947872283401,0,0,0,-0,-0,-0,0.54748445011204738,0.32397810919131381,1.5,0.88379492520609859,0.38729755685394612,839.09649085998535
50978,Inf,Inf,112,0.99999979744638834,0.99999979744638834,0,0,0,-0,-0,-0,0.59870624899343161,0.36480884190006779,1.5,1.0004955636112056,0.38730982764806582,528.60704207420349
310012,Inf,Inf,112,0.99999968938197137,0.99999968938197137,0,0,0,-0,-0,-0,0.64595471965351825,0.35514572731404964,1.5,1.0536388417709264,0.38729843200334224,661.6120879650116
39528,Inf,Inf,112,0.99999977362427805,0.99999977362427805,0,0,0,-0,-0,-0,0.64089688809858103,0.36801041501565124,1.5,0.9980825582820787,0.38729812350349135,502.00473713874817
518624,Inf,Inf,112,0.99999980753269158,0.99999980753269158,0,0,0,-0,-0,-0,0.57379958697279987,0.34535058340518371,1.5,0.90598990682927882,0.38729424537143692,503.16280221939087
279217,Inf,Inf,112,0.99999901888281495,0.99999901888281495,0,0,0,-0,-0,-0,0.59681359695009306,0.36888491281602914,1.5,0.89817734131837468,0.38729957127841613,509.01226305961609
265386,Inf,Inf,112,0.99999976248986777,0.99999976248986777,0,0,0,-0,-0,-0,0.58859352459957859,0.36575495367856298,1.5,0.87363682327201497,0.38730245606249086,517.15728902816772
769063,Inf,Inf,112,0.99999981062671761,0.99999981062671761,0,0,0,-0,-0,-0,0.6129217298651578,0.35569915332995039,1.5,0.80217323934692331,0.38729793395556167,568.93329691886902
603072,Inf,Inf,112,0.9999991275276372,0.9999991275276372,0,0,0,-0,-0,-0,0.57521428032493338,0.35817089229134241,1.5,0.88733283477377567,0.38729653019053623,569.07621383666992
696535,Inf,Inf,112,0.99999955165810528,0.99999955165810528,0,0,0,-0,-0,-0,0.54762837735056735,0.34037257038680158,1.5,0.88595335115089924,0.38729798086479428,904.68436193466187
461212,Inf,Inf,112,0.99999977015257202,0.99999977015257202,0,0,0,-0,-0,-0,0.58465033434383762,0.35484372654679097,1.5,0.9186127339898339,0.38729844449314776,542.88698601722717
795298,Inf,Inf,112,0.99999919962168093,0.99999919962168093,0,0,0,-0,-0,-0,0.55966831153128815,0.3305343176026263,1.5,0.73824171925316595,0.38729830147881067,885.8321418762207
364834,Inf,Inf,112,0.99999981583633379,0.99999981583633379,0,0,0,-0,-0,-0,0.57546070850923248,0.37302780236464683,1.5,0.94542276026698335,0.38730042730023478,890.05138421058655
510043,Inf,Inf,112,0.99999952623516741,0.99999952623516741,0,0,0,-0,-0,-0,0.56567988208883968,0.29971082726663861,1.5,0.90639447714121424,0.38730314288016954,897.24255394935608
266070,Inf,Inf,112,0.99999970740123933,0.99999970740123933,0,0,0,-0,-0,-0,0.58854627663809489,0.37494272414556423,1.5,0.9615650368862283,0.38729926151222627,902.17507386207581
983225,Inf,Inf,112,0.99999970955982198,0.99999970955982198,0,0,0,-0,-0,-0,0.55522433334186116,0.33795899570405691,1.5,0.91692116442748284,0.38730292052970478,887.73314809799194
707673,Inf,Inf,112,0.9999996562144805,0.9999996562144805,0,0,0,-0,-0,-0,0.57343676954121514,0.35756241377429704,1.5,1.0606196416090921,0.3872973413939535,499.05951595306396
29044,Inf,Inf,112,0.99999981403235771,0.99999981403235771,0,0,0,-0,-0,-0,0.57395439273012561,0.33587636550592148,1.5,0.90902394328721869,0.38729805103905585,538.26976895332336
20510,Inf,Inf,112,0.99999967578298099,0.99999967578298099,0,0,0,-0,-0,-0,0.59644834683097447,0.34069808842498772,1.5,1.0062214488696199,0.38729982633929949,903.80816006660461
460176,Inf,Inf,112,0.99999983018150251,0.99999983018150251,0,0,0,-0,-0,-0,0.53730837337819182,0.30014280453712439,1.5,0.86315156080918909,0.38729788046746561,503.15750908851624
705471,Inf,Inf,112,0.99999980059477578,0.99999980059477578,0,0,0,-0,-0,-0,0.54728307513382024,0.35545307578769259,1.5,0.93141075625391956,0.38729828658676091,508.30294394493103
