seed,initial_seed,N_shots,iterations,stopped_early,restarts,restart_seeds,total_shots,n_train,q_det,q_rec,q_last,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
968356,968356,10000,100,false,0,,1130000,112,0.99983408895862924,0.99980000000000002,0.99019999999999997,0,0,0,-0,-0,-0,0.44216665838852359,0.28553293999351215,1.5,1.0618478089213474,0.47327677184153383,481.41342902183533
682041,682041,10000,100,false,0,,1130000,112,0.99962521165312512,0.99980000000000002,0.99220000000000008,0,0,0,-0,-0,-0,0.45172712023935452,0.2874749864593521,1.5,1.0045680319716714,0.061761717022593178,485.81102919578552
184183,184183,10000,100,false,0,,1130000,112,0.99944110935782715,0.99960000000000004,0.9930000000000001,0,0,0,-0,-0,-0,0.49635566102148637,0.26197787832786473,1.5,1.0189436413105855,0.050000000000000031,499.09041094779968
228167,228167,10000,100,false,0,,1130000,112,0.99937359487455135,0.99960000000000004,0.99780000000000013,0,0,0,-0,-0,-0,0.50385088169888304,0.28539366742530453,1.5,1.1344394880015278,0.33876994707057551,495.05124998092651
644045,644045,10000,100,false,0,,1130000,112,0.99984219677209885,0.99960000000000004,0.99460000000000004,0,0,0,-0,-0,-0,0.52264587044405397,0.26715525931420259,1.5,1.0049881317430198,0.050000000000000031,466.82222294807434
795829,795829,10000,100,false,0,,1130000,112,0.99987867929062779,1,0.996,0,0,0,-0,-0,-0,0.49930268132170397,0.26152775127595251,1.5,1.0209391093510523,0.050000000000000031,490.28745484352112
55163,55163,10000,100,false,0,,1130000,112,0.99962462853986755,0.99960000000000004,0.99080000000000001,0,0,0,-0,-0,-0,0.43887549481335825,0.28133440941266524,1.5,0.92871747966287366,0.050000000000000454,484.0754120349884
175307,175307,10000,100,false,0,,1130000,112,0.99999722677059222,1,0.99659999999999993,0,0,0,-0,-0,-0,0.45613138289228244,0.31327461742912555,1.5,0.89267289763175572,0.57674026653487998,483.28222489356995
218892,218892,10000,100,false,0,,1130000,112,0.99963166202785791,1,0.98340000000000005,0,0,0,-0,-0,-0,0.44717331925678916,0.30203491941097854,1.5,0.87869591938393854,0.050000000000000031,487.89468598365784
155832,155832,10000,100,false,0,,1130000,112,0.99983363077496534,0.99920000000000009,0.99560000000000004,0,0,0,-0,-0,-0,0.42156951426898065,0.26747734890720931,1.5,0.828818589326344,0.16627258799458708,460.1069610118866
262269,262269,10000,100,false,0,,1130000,112,0.9999193905918331,0.99980000000000002,0.99139999999999995,0,0,0,-0,-0,-0,0.49823587305092476,0.29529462359131164,1.5,1.035614946883934,0.050000000000000031,488.66287684440613
273956,273956,10000,100,false,0,,1130000,112,0.99974995497726538,0.99960000000000004,0.99140000000000006,0,0,0,-0,-0,-0,0.45477884648815581,0.27127333994500868,1.5,1.0666316416929331,0.050000000000000031,488.03334522247314
828743,828743,10000,100,false,0,,1130000,112,0.99981736601162019,1,0.99579999999999991,0,0,0,-0,-0,-0,0.45305717733646472,0.29691452206477509,1.5,0.99161680018887433,0.050000000000000031,488.33023881912231
656460,656460,10000,100,false,0,,1130000,112,0.99976393019621446,0.99960000000000004,0.99380000000000002,0,0,0,-0,-0,-0,0.48181352902010433,0.31113475521695383,1.5,0.98208075660246918,0.55470387293909651,482.186203956604
893076,893076,10000,100,false,0,,1130000,112,0.99997968652539548,1,0.996,0,0,0,-0,-0,-0,0.47575458737098103,0.29400641807219902,1.5,0.9746934159849755,0.52502927882431827,467.44704222679138
503506,503506,10000,100,false,0,,1130000,112,0.99950192143356587,0.99960000000000004,0.99119999999999997,0,0,0,-0,-0,-0,0.43529414391026916,0.26018810455805813,1.5,0.88480961488735232,0.050000000000000031,479.88634300231934
245877,245877,10000,100,false,0,,1130000,112,0.99986478788838573,1,0.99219999999999997,0,0,0,-0,-0,-0,0.42672438294478149,0.25561933785635776,1.5,0.82521399905719728,0.4067873839821633,475.15099310874939
359706,359706,10000,100,false,0,,1130000,112,0.99965654132111703,0.99980000000000002,0.99639999999999995,0,0,0,-0,-0,-0,0.45272537559242182,0.3211950313055531,1.5,0.96850639443139708,0.55205385339535573,479.14909195899963
246715,246715,10000,100,false,0,,1130000,112,0.999748925254206,1,0.98960000000000004,0,0,0,-0,-0,-0,0.42856993483631417,0.28621309982781806,1.5,0.86854247924034467,0.050000000000000454,479.3472740650177
690925,690925,10000,100,false,0,,1130000,112,0.99921608858336619,0.99920000000000009,0.99240000000000006,0,0,0,-0,-0,-0,0.52063328818653742,0.31063575016657008,1.5,1.0434619440435875,0.60950830396176203,482.06032395362854
696535,696535,10000,100,false,0,,1130000,112,0.99644417761892468,0.99620000000000009,0.99580000000000002,0,0,0,-0,-0,-0,0.50369352771140707,0.2933490920663871,1.5,1.0494672546786541,0.68132981028700901,480.93805313110352
795298,795298,10000,100,false,0,,1130000,112,0.99995560927163207,1,0.98560000000000003,0,0,0,-0,-0,-0,0.49924791282395919,0.2598501552927906,1.5,0.7966571238293465,0.67329995946100241,482.52956891059875
535117,535117,10000,100,false,0,,1130000,112,0.9999224126762799,1,0.99840000000000007,0,0,0,-0,-0,-0,0.50049336420982327,0.26833866914355625,1.5,1.0889276342475047,0.91630373900089146,463.30801606178284
310012,310012,10000,100,false,0,,1130000,112,0.99920744948628537,0.99940000000000007,0.99639999999999995,0,0,0,-0,-0,-0,0.48687007236197771,0.29077259609196793,1.5,0.99728036244258822,0.54420325207643683,488.94289588928223
266070,266070,10000,100,false,0,,1130000,112,0.99921017483638352,0.99920000000000009,0.98720000000000008,0,0,0,-0,-0,-0,0.48951577949368613,0.2880560057604642,1.5,1.0232735957626855,0.57668195122701371,481.94816112518311
510043,510043,10000,100,false,0,,1130000,112,0.99941501221930917,1,0.99819999999999998,0,0,0,-0,-0,-0,0.46287886854407378,0.25536727845132762,1.5,0.93129275484442053,0.50316436926814989,486.94017791748047
364834,364834,10000,100,false,0,,1130000,112,0.99992659953606455,1,0.99419999999999997,0,0,0,-0,-0,-0,0.47303756316802287,0.30594167217149731,1.5,1.0976587152779331,0.050000000000000031,500.72852492332458
50978,50978,10000,100,false,0,,1130000,112,0.99947479322478117,0.99960000000000004,0.99119999999999997,0,0,0,-0,-0,-0,0.48728407089715498,0.28732793716633709,1.5,1.0447321203917368,0.25003669536976703,490.1519889831543
983225,983225,10000,100,false,0,,1130000,112,0.99958475988042006,1,0.99980000000000002,0,0,0,-0,-0,-0,0.52265299402487997,0.25331634169225026,1.5,0.95592594214447402,0.34952387931083606,486.66414213180542
