iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
74,0.196804,-0.000587,-0.681763,1.000000,-1.000000,-1.000000,0.006549,0.017087,0.295000,NaN
75,-0.348026,0.436321,0.521881,-0.740888,-0.462301,-1.000000,0.006266,0.007749,0.000000,NaN
76,0.564157,-0.192162,0.654080,-0.741576,-0.462167,-1.000000,0.006210,0.007718,0.000000,NaN
77,0.976118,-0.434593,-0.256405,-0.741191,-0.462269,-1.000000,0.006151,0.007677,0.000000,NaN
78,0.470903,0.574282,0.478139,-0.740640,-0.462266,-1.000000,0.006096,0.007636,0.000000,NaN
79,0.277994,0.109841,0.442555,-0.739992,-0.462420,-1.000000,0.006038,0.007595,0.252500,NaN
80,0.221549,0.453903,-0.027764,-0.745905,-0.460988,-1.000000,0.006292,0.007797,0.000000,NaN
81,-0.319269,-0.623702,0.282383,-0.745297,-0.461134,-1.000000,0.006238,0.007758,0.000000,NaN
82,0.834910,-0.239536,0.704045,-0.740479,-0.461814,-1.000000,0.006167,0.007681,0.000000,NaN
83,0.086781,0.848682,0.493982,-0.740008,-0.461925,-1.000000,0.006111,0.007642,0.012500,NaN
84,-0.460586,0.641976,-0.952661,-0.740442,-0.461746,-1.000000,0.006056,0.007609,0.000000,NaN
85,-0.409696,0.801267,-0.143546,-0.740109,-0.460341,-1.000000,0.005972,0.007573,0.000000,NaN
86,-0.503229,0.309256,0.293415,-0.738840,-0.460726,-1.000000,0.005917,0.007529,0.000000,NaN
87,-0.564808,-0.535976,0.529341,-0.737402,-0.461085,-1.000000,0.005861,0.007484,0.205000,NaN
88,-0.986664,0.739760,0.548256,-0.741356,-0.460019,-1.000000,0.005988,0.007590,0.000000,NaN
89,0.506467,-0.908306,-0.728282,-0.740738,-0.460149,-1.000000,0.005938,0.007553,0.082500,NaN
90,0.423652,0.484564,-0.473056,1.000000,-1.000000,-1.000000,0.009464,0.016169,0.000000,NaN
91,0.019227,0.148877,0.995830,1.000000,-1.000000,-1.000000,0.009376,0.016105,0.545000,NaN
92,0.892396,0.229931,-0.844996,1.000000,-1.000000,-1.000000,0.010778,0.018005,0.000000,NaN
93,0.097988,-0.017501,0.266322,1.000000,-1.000000,-1.000000,0.010285,0.017678,0.807500,NaN
94,-0.047334,0.310811,0.154825,1.000000,-1.000000,-1.000000,0.013040,0.021314,0.125000,NaN
95,-0.135831,-0.456466,-0.473892,1.000000,-1.000000,-1.000000,0.013173,0.021246,0.252500,NaN
96,-0.339975,0.514447,-0.808553,1.000000,-1.000000,-1.000000,0.012683,0.021377,0.000000,NaN
97,-0.074813,0.621901,-0.504951,1.000000,-1.000000,-1.000000,0.012582,0.021295,0.222500,NaN
98,0.583618,0.338564,-0.694300,1.000000,-1.000000,-1.000000,0.012899,0.021359,0.000000,NaN
99,0.870692,-0.358908,0.065302,1.000000,-1.000000,-1.000000,0.012713,0.021268,0.000000,NaN
100,0.602498,0.170447,-0.798816,1.000000,-1.000000,-1.000000,0.012117,0.020929,0.000000,NaN
