# u1-u2 slice at u3=0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u2
u1,u2,q
-0.771429,0.800000,0.474259
-0.771429,0.828571,0.465417
-0.771429,0.857143,0.453076
-0.771429,0.885714,0.440631
-0.771429,0.914286,0.427110
-0.771429,0.942857,0.415830
-0.771429,0.971429,0.405443
-0.771429,1.000000,0.394713
-0.742857,-1.000000,0.455146
-0.742857,-0.971429,0.442237
-0.742857,-0.942857,0.425035
-0.742857,-0.914286,0.405852
-0.742857,-0.885714,0.394499
-0.742857,-0.857143,0.398987
-0.742857,-0.828571,0.417317
-0.742857,-0.800000,0.442328
-0.742857,-0.771429,0.466981
-0.742857,-0.742857,0.483424
-0.742857,-0.714286,0.491432
-0.742857,-0.685714,0.492862
-0.742857,-0.657143,0.486793
-0.742857,-0.628571,0.475202
-0.742857,-0.600000,0.458651
-0.742857,-0.571429,0.441896
-0.742857,-0.542857,0.423528
-0.742857,-0.514286,0.401398
-0.742857,-0.485714,0.375413
-0.742857,-0.457143,0.351146
-0.742857,-0.428571,0.324510
-0.742857,-0.400000,0.299128
-0.742857,-0.371429,0.273586
-0.742857,-0.342857,0.242550
-0.742857,-0.314286,0.212754
-0.742857,-0.285714,0.180540
-0.742857,-0.257143,0.151111
-0.742857,-0.228571,0.132314
-0.742857,-0.200000,0.125834
-0.742857,-0.171429,0.142271
-0.742857,-0.142857,0.179036
-0.742857,-0.114286,0.230793
-0.742857,-0.085714,0.285450
-0.742857,-0.057143,0.333801
-0.742857,-0.028571,0.375318
-0.742857,0.000000,0.401254
-0.742857,0.028571,0.421381
-0.742857,0.057143,0.430979
-0.742857,0.085714,0.432894
-0.742857,0.114286,0.426296
-0.742857,0.142857,0.406309
-0.742857,0.171429,0.374826
-0.742857,0.200000,0.338012
-0.742857,0.228571,0.291851
-0.742857,0.257143,0.247459
-0.742857,0.285714,0.208446
-0.742857,0.314286,0.178636
-0.742857,0.342857,0.167503
-0.742857,0.371429,0.169379
-0.742857,0.400000,0.186402
-0.742857,0.428571,0.217489
-0.742857,0.457143,0.253584
-0.742857,0.485714,0.293399
-0.742857,0.514286,0.335211
-0.742857,0.542857,0.368724
-0.742857,0.571429,0.402899
-0.742857,0.600000,0.427707
-0.742857,0.628571,0.447805
-0.742857,0.657143,0.461647
-0.742857,0.685714,0.469837
-0.742857,0.714286,0.472338
-0.742857,0.742857,0.471203
-0.742857,0.771429,0.466374
-0.742857,0.800000,0.457615
-0.742857,0.828571,0.446380
-0.742857,0.857143,0.435211
-0.742857,0.885714,0.422171
-0.742857,0.914286,0.409477
-0.742857,0.942857,0.400114
-0.742857,0.971429,0.387481
-0.742857,1.000000,0.377297
-0.714286,-1.000000,0.505869
-0.714286,-0.971429,0.492262
-0.714286,-0.942857,0.471590
-0.714286,-0.914286,0.449961
-0.714286,-0.885714,0.435173
-0.714286,-0.857143,0.433092
-0.714286,-0.828571,0.441546
-0.714286,-0.800000,0.454297
-0.714286,-0.771429,0.466831
-0.714286,-0.742857,0.472099
-0.714286,-0.714286,0.472202
-0.714286,-0.685714,0.466446
-0.714286,-0.657143,0.452420
-0.714286,-0.628571,0.435528
-0.714286,-0.600000,0.412217
-0.714286,-0.571429,0.389256
-0.714286,-0.542857,0.363192
-0.714286,-0.514286,0.336440
-0.714286,-0.485714,0.309396
-0.714286,-0.457143,0.283031
-0.714286,-0.428571,0.257781
-0.714286,-0.400000,0.236533
-0.714286,-0.371429,0.215812
-0.714286,-0.342857,0.196420
-0.714286,-0.314286,0.178909
-0.714286,-0.285714,0.161682
-0.714286,-0.257143,0.149496
-0.714286,-0.228571,0.148238
-0.714286,-0.200000,0.160795
-0.714286,-0.171429,0.190371
-0.714286,-0.142857,0.233520
-0.714286,-0.114286,0.287897
-0.714286,-0.085714,0.340085
-0.714286,-0.057143,0.385215
-0.714286,-0.028571,0.423808
-0.714286,0.000000,0.451514
-0.714286,0.028571,0.470142
-0.714286,0.057143,0.477723
-0.714286,0.085714,0.476881
-0.714286,0.114286,0.460505
-0.714286,0.142857,0.431902
-0.714286,0.171429,0.393104
-0.714286,0.200000,0.341845
-0.714286,0.228571,0.289335
-0.714286,0.257143,0.240207
-0.714286,0.285714,0.200126
-0.714286,0.314286,0.175027
-0.714286,0.342857,0.164364
-0.714286,0.371429,0.172113
-0.714286,0.400000,0.192500
-0.714286,0.428571,0.223317
-0.714286,0.457143,0.259325
-0.714286,0.485714,0.299886
-0.714286,0.514286,0.336186
-0.714286,0.542857,0.370306
-0.714286,0.571429,0.398608
-0.714286,0.600000,0.422638
-0.714286,0.628571,0.441397
-0.714286,0.657143,0.453883
-0.714286,0.685714,0.460495
-0.714286,0.714286,0.462539
-0.714286,0.742857,0.460184
-0.714286,0.771429,0.454252
-0.714286,0.800000,0.446173
-0.714286,0.828571,0.435706
-0.714286,0.857143,0.423094
-0.714286,0.885714,0.411662
-0.714286,0.914286,0.399379
-0.714286,0.942857,0.387357
-0.714286,0.971429,0.375988
-0.714286,1.000000,0.368911
-0.685714,-1.000000,0.538817
-0.685714,-0.971429,0.527645
-0.685714,-0.942857,0.507287
-0.685714,-0.914286,0.488631
-0.685714,-0.885714,0.472860
-0.685714,-0.857143,0.463927
-0.685714,-0.828571,0.462486
-0.685714,-0.800000,0.463761
-0.685714,-0.771429,0.462786
-0.685714,-0.742857,0.458139
-0.685714,-0.714286,0.449664
-0.685714,-0.685714,0.436579
-0.685714,-0.657143,0.417714
-0.685714,-0.628571,0.393891
-0.685714,-0.600000,0.366802
-0.685714,-0.571429,0.337215
-0.685714,-0.542857,0.308064
-0.685714,-0.514286,0.281321
-0.685714,-0.485714,0.254349
-0.685714,-0.457143,0.232111
-0.685714,-0.428571,0.211672
-0.685714,-0.400000,0.195136
-0.685714,-0.371429,0.182484
-0.685714,-0.342857,0.174163
-0.685714,-0.314286,0.169625
-0.685714,-0.285714,0.170029
-0.685714,-0.257143,0.175691
-0.685714,-0.228571,0.189560
-0.685714,-0.200000,0.214413
-0.685714,-0.171429,0.251141
-0.685714,-0.142857,0.298212
-0.685714,-0.114286,0.348850
-0.685714,-0.085714,0.396428
-0.685714,-0.057143,0.435956
-0.685714,-0.028571,0.468867
-0.685714,0.000000,0.492329
-0.685714,0.028571,0.505859
-0.685714,0.057143,0.508067
-0.685714,0.085714,0.497063
-0.685714,0.114286,0.469467
-0.685714,0.142857,0.426720
-0.685714,0.171429,0.375963
-0.685714,0.200000,0.318151
-0.685714,0.228571,0.260007
-0.685714,0.257143,0.213538
-0.685714,0.285714,0.178270
-0.685714,0.314286,0.157030
-0.685714,0.342857,0.154769
-0.685714,0.371429,0.166904
-0.685714,0.400000,0.192358
-0.685714,0.428571,0.227677
-0.685714,0.457143,0.264351
-0.685714,0.485714,0.302268
-0.685714,0.514286,0.339203
-0.685714,0.542857,0.372801
-0.685714,0.571429,0.399424
-0.685714,0.600000,0.422957
