# u1-u3 slice at u2=-0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u3
u1,u3,q
-0.857143,0.828571,0.296984
-0.857143,0.857143,0.294860
-0.857143,0.885714,0.295333
-0.857143,0.914286,0.293426
-0.857143,0.942857,0.291542
-0.857143,0.971429,0.290287
-0.857143,1.000000,0.289698
-0.828571,-1.000000,0.409087
-0.828571,-0.971429,0.407710
-0.828571,-0.942857,0.406996
-0.828571,-0.914286,0.404963
-0.828571,-0.885714,0.402776
-0.828571,-0.857143,0.400658
-0.828571,-0.828571,0.397454
-0.828571,-0.800000,0.396787
-0.828571,-0.771429,0.394525
-0.828571,-0.742857,0.392941
-0.828571,-0.714286,0.390797
-0.828571,-0.685714,0.387820
-0.828571,-0.657143,0.385526
-0.828571,-0.628571,0.385159
-0.828571,-0.600000,0.382380
-0.828571,-0.571429,0.380682
-0.828571,-0.542857,0.377890
-0.828571,-0.514286,0.376920
-0.828571,-0.485714,0.375577
-0.828571,-0.457143,0.371682
-0.828571,-0.428571,0.369232
-0.828571,-0.400000,0.368355
-0.828571,-0.371429,0.365880
-0.828571,-0.342857,0.364210
-0.828571,-0.314286,0.362739
-0.828571,-0.285714,0.360452
-0.828571,-0.257143,0.359635
-0.828571,-0.228571,0.356162
-0.828571,-0.200000,0.355881
-0.828571,-0.171429,0.353766
-0.828571,-0.142857,0.349590
-0.828571,-0.114286,0.350007
-0.828571,-0.085714,0.347735
-0.828571,-0.057143,0.344656
-0.828571,-0.028571,0.343822
-0.828571,0.000000,0.343131
-0.828571,0.028571,0.339644
-0.828571,0.057143,0.337655
-0.828571,0.085714,0.334594
-0.828571,0.114286,0.334931
-0.828571,0.142857,0.332020
-0.828571,0.171429,0.330765
-0.828571,0.200000,0.329696
-0.828571,0.228571,0.328450
-0.828571,0.257143,0.326766
-0.828571,0.285714,0.324695
-0.828571,0.314286,0.324551
-0.828571,0.342857,0.321160
-0.828571,0.371429,0.319660
-0.828571,0.400000,0.318999
-0.828571,0.428571,0.316167
-0.828571,0.457143,0.314168
-0.828571,0.485714,0.314778
-0.828571,0.514286,0.313087
-0.828571,0.542857,0.311799
-0.828571,0.571429,0.310526
-0.828571,0.600000,0.307814
-0.828571,0.628571,0.306589
-0.828571,0.657143,0.307013
-0.828571,0.685714,0.305518
-0.828571,0.714286,0.303451
-0.828571,0.742857,0.303745
-0.828571,0.771429,0.300321
-0.828571,0.800000,0.299869
-0.828571,0.828571,0.297035
-0.828571,0.857143,0.296585
-0.828571,0.885714,0.296023
-0.828571,0.914286,0.294926
-0.828571,0.942857,0.294651
-0.828571,0.971429,0.295236
-0.828571,1.000000,0.292009
-0.800000,-1.000000,0.412786
-0.800000,-0.971429,0.411192
-0.800000,-0.942857,0.409947
-0.800000,-0.914286,0.406925
-0.800000,-0.885714,0.405331
-0.800000,-0.857143,0.403309
-0.800000,-0.828571,0.401528
-0.800000,-0.800000,0.398769
-0.800000,-0.771429,0.397039
-0.800000,-0.742857,0.394573
-0.800000,-0.714286,0.393250
-0.800000,-0.685714,0.390849
-0.800000,-0.657143,0.389182
-0.800000,-0.628571,0.387976
-0.800000,-0.600000,0.384545
-0.800000,-0.571429,0.382494
-0.800000,-0.542857,0.380893
-0.800000,-0.514286,0.379259
-0.800000,-0.485714,0.375898
-0.800000,-0.457143,0.374467
-0.800000,-0.428571,0.372547
-0.800000,-0.400000,0.370026
-0.800000,-0.371429,0.368437
-0.800000,-0.342857,0.365932
-0.800000,-0.314286,0.364995
-0.800000,-0.285714,0.361709
-0.800000,-0.257143,0.359763
-0.800000,-0.228571,0.358653
-0.800000,-0.200000,0.355194
-0.800000,-0.171429,0.355236
-0.800000,-0.142857,0.352480
-0.800000,-0.114286,0.352230
-0.800000,-0.085714,0.350014
-0.800000,-0.057143,0.347646
-0.800000,-0.028571,0.345918
-0.800000,0.000000,0.344708
-0.800000,0.028571,0.342639
-0.800000,0.057143,0.342031
-0.800000,0.085714,0.340052
-0.800000,0.114286,0.336929
-0.800000,0.142857,0.334983
-0.800000,0.171429,0.335325
-0.800000,0.200000,0.332998
-0.800000,0.228571,0.331512
-0.800000,0.257143,0.329843
-0.800000,0.285714,0.328963
-0.800000,0.314286,0.327639
-0.800000,0.342857,0.327518
-0.800000,0.371429,0.325702
-0.800000,0.400000,0.324128
-0.800000,0.428571,0.322072
-0.800000,0.457143,0.321846
-0.800000,0.485714,0.318890
-0.800000,0.514286,0.318650
-0.800000,0.542857,0.318208
-0.800000,0.571429,0.314800
-0.800000,0.600000,0.313481
-0.800000,0.628571,0.312715
-0.800000,0.657143,0.313071
-0.800000,0.685714,0.311197
-0.800000,0.714286,0.311086
-0.800000,0.742857,0.310154
-0.800000,0.771429,0.309458
-0.800000,0.800000,0.306444
-0.800000,0.828571,0.307232
